en,ha
"God did not create evil, but He allowed it.","Allah bai halicci mugunta ba, amma ya kyale shi."
It is essentially a command against lying.,Wannan umarni ne kan hana kisan wani mutum.
"No one deserves anything from God; therefore, no one can object if he does not receive anything from God.","Babu wanda ya cancanci komai daga Allah, sabili da haka, babu wanda zai iya ƙi idan bai karɓi komai daga Allah ba."
"◦ Our bodies, as well as our souls, have been redeemed and belong to God.","Muna bukata mu tuna cewa jikunanmu, har ma da rayukanmu, an fansa kuma na Allah ne."
"There are traditions regarding the other apostles as well, but none with any reliable historical or traditional support.","Akwai hadisai game da sauran manzannin kuma, amma babu wanda ke da wani abin dogara na tarihi ko na gargajiya."
"Similarly, we are given assurance that God’s Word is true when it discusses spiritual areas that we cannot test with our senses by showing itself true in those areas that we can test, such as historical accuracy, scientific accuracy, and prophetic accuracy.",Sannan ya tabbatar yana da ikon gafarta zunubai (abin da ba za mu iya gani da idanunmu ba) ta warkar da mai ciwon inna (abin da waɗanda ke kewaye da shi za su iya gwadawa da idanunsu).
"The Watchtower Bible and Tract Society altered the text of the Bible to make it fit their false doctrine, rather than basing their doctrine on what the Bible actually teaches.","Hasumiyar Tsaro Littafi Mai Tsarki da Fili Jama’a sun canza rubutun na Baibul don ya dace da koyarwar ƙarya, maimakon dogaro da koyarwarsu bisa ainihin abin da Littafi Mai Tsarki ke koyarwa."
Return to:,Koma zuwa shafin gida na Hausa
God created the animals and said they were good (Genesis 1:25).,Allah ya halicce dabbobi kuma ya ce suna da kyau (Farawa 1:25).
"For a detailed list of the boundaries, see Deuteronomy 34.","Ga jerin iyakoki dalla-dalla, Kubawar Shari'a 34."
"However, the problem arises in that there is still the appearance of immorality (1 Thessalonians 5:22; Ephesians 5:3), and it could be a tremendous temptation for immorality.","Koyaya, matsalar ta taso ne kasancewar har yanzu akwai bayyanar lalata (1 Tassalunikawa 5:22; Afisawa 5:3), kuma yana iya zama babbar jaraba ta lalata."
Christ offered many miracles as proof of His claim to deity.,Yesu ya miƙa da tabbatarwa al’ajibai da yawa na da’awar Allahntakar sa kuma har ya tashi daga matattu.
God sometimes calls people to remain single (1 Corinthians 7:7-8).,Allah wani lokacin yakan kirayi mutane su kasance marasa aure (1 Korantiyawa 7:7-8).
Creation is marred by the fall but still offers a glimpse of God’s works (Genesis 3:17-18; Romans 1:19-20).,Halitta ta ɓaci ta wurin “faɗuwa” amma har yau tana nuna tsinkayo na ayyukan sa (Farawa 3:17; Romawa 1: 19-20).
Answer,Amsa
Why would His claiming to be the Son of God be considered blasphemy and be worthy of a death sentence?,Kasancewa dan Allah ya zama daidai da Allah.
The Ten Commandments: Ethics for the Twenty-first Century by Mark F. Rooker,"Kwadayi na iya haifar da karya ɗaya daga cikin dokokin da aka lissafa a sama: kisan kai, zina, da sata."
These are what should characterize our lives now that we have experienced salvation in Jesus Christ.,Waɗannan sune abin da ya kamata ya kwatanta rayuwarmu yanzu da muka sami ceto cikin Yesu Kiristi.
"There are women who believe women should not serve as pastors and that the Bible places restrictions on the ministry of women, and there are men who believe women can serve as pastors and that there are no restrictions on women in ministry.",Akwai matayen da sun gaskata cewa kar mataye su yi hidima a matsayin fastoci kuma cewa Littafi Mai Tsarki tasa abubuwan taƙurawa kan ma’aikatar mata- kuma akwai mazajen da sun gaskata cewa mataye  zasu iya yin hidima a matsayin masu wa’azi da kuma cewa babu abubuwan taƙurawa kan mataye cikin ma’aikata.
Answer,Amsa
There are several ways of attempting to determine the age of the earth.,Akwai hanyoyi da yawa na yunƙurin tantance shekarun duniya.
"Horoscopes, tarot cards, astrology, fortune tellers, palm readings, and séances fall into this category as well.","Su horoskop, tarot su kain, Ilimin taurari, bokaye, karatun dabino, da kuma lokutan motsa jiki sun faɗi cikin wannan rukunin."
"Paul’s purpose was knowing Christ, having a righteousness obtained through faith in Him, and living in fellowship with Him, even when that brought on suffering (2 Timothy 3:12).","Manufar Bulus shine sanin Kristi, da samun adalcin da aka samu ta wurin bangaskiya gareshi, da rayuwa cikin zumunci tare da shi, koda lokacin da hakan ya kawo wahala (2 Timothawus 3:12)."
"Unless the Lord returns, everyone who is alive today will die, and the vast majority of them (Christians included) will die as the result of a physical problem (disease, sickness, injury).",(1 Yahaya 5:14-15).
But Jesus Christ took the punishment that I deserve so that through faith in Him I could be forgiven.,"Amma Yesu Kiristi ya ɗauki hukuncin da ya cancance ni, don ta wurin bangaskiya a cikinsa in sami gafartawa."
People choose to reject the message because they do not want to face up to their sin and admit that they need the Lord to save them.,Mutane sun zaɓi ƙi saƙon saboda basa son fuskantar zunubansu kuma su yarda cewa suna buƙatar Ubangiji ya cece su.
Words are vessels of meaning.,Kalmomi tasoshin ma'ana ne.
"The disciples, who do not recognize Jesus, tell Him of Jesus’ crucifixion (24:21) and say that “today is the third day since these things happened” (24:22).","Almajiran, waɗanda ba su san Yesu ba, sun gaya masa game da gicciyen Yesu (24:21) kuma suka ce ""yau kwana uku ke nan da waɗannan abubuwa suka faru"" (24:22)."
It is also important to remember that Scripture interprets Scripture.,Yana da mahimmanci a tuna cewa Nassi yana fassara nassi.
"Priscilla’s name is mentioned first, perhaps indicating that she was more prominent in ministry than her husband.","Ana ambaton sunan Priskila da farko, mai kamar da cewa ita ta fi “fice” cikin ma’aikata fiye da mijinta."
Answer,Amsa
This is an internal relationship and does not deny the deity of any Person of the Trinity.,"Wannan shine dangantakar ciki, kuma bata musuntar wa kowanne mutum da allahntakar Triniti ba."
"In these examples, the Bible does seem to indicate that we will be recognizable after death.","A cikin waɗannan misalai, Littafi Mai Tsarki kamar yana nuna cewa za a iya gane mu bayan mutuwa."
Paul then follows this line of thought on Spirit-filled living and applies it to wives in verses 22–24.,"A cikin yin haka, mace mai ibada na iya jawo ma mijinta mara imani ga Ubangiji “ba tare da magana” kawai ta ɗabi'unta mai tsarki (1 Bitrus 3:1)."
Keep in mind when studying this subject that the word “Trinity” is not found in Scripture.,Kada ka rataya kan kalmar “Triniti” kanta.
The years listed in the genealogies of Genesis are then added to get an approximate time from creation to certain Old Testament figures.,Shekarun da aka lissafa a asalin asalin Farawa ana ƙara su don samun kusan lokaci daga halitta don gano adadi na Tsohon Alkawari.
"“Husbands, love your wives, just as Christ loved the church and gave himself up for her” (Ephesians 5:25).","“Ku maza, ku ƙaunaci matanku kamar yadda Almasihu ya ƙaunaci ikkilisiya, har ya ba da kansa dominta” (Afisawa 5:25)."
Answer,Amsa
That sin opened Adam’s and Eve’s eyes to evil.,Wannan zunubin ya buɗe idanun Adamu da Hauwa'u ga mugunta.
"While this is a possible explanation, the Bible nowhere specifically limits the long lifespans to the individuals mentioned in Genesis chapter 5.","Duk da yake wannan bayani ne mai yuwuwa, babu inda Littafi Mai-Tsarki ya taƙaita tsawon rayuwa ga mutanen da aka ambata a cikin Farawa sura 5."
"Once that salvation is received by grace through faith, Christ makes us new creations, and we begin the progressive journey of growing closer to Him and learning to rely on Him.","“Ka nemi farin cikin ka a wurin Ubangiji, zai kuwa biya maka bukatar ka” (Zabura 37:4)."
"At the same time, it takes just as much faith to believe in atheism.","A lokaci guda, yana ɗaukar imani kamar yadda yakamata a yi imani da rashin yarda da Allah."
"Regularly attend a Bible-believing church (Hebrews 10:25), allow them to see you studying the Word, and also study it with them.","Kullum ku halarci cocin da ke gaskantawa da Baibul (Ibraniyawa 10:25), ku ba su damar ganin kuna nazarin Kalmar, ku ma karanta su tare da su."
Is Christianity a religion or a relationship?,"Hakanan, yayin da tsarin addinai masu yawa suna bukatar mutum yayi waɗansu abubuwa ko da yayi waɗansu abubuwa, Kiristanci tana game da samun dangantaka da Allah."
"The resurrection is important for the following reasons: 1) If Christ was not raised from the dead, believers will not be either (1 Corinthians 15:12-15).","Tashin matattu yana da mahimmanci don dalilai masu zuwa: 1) Idan ba a ta da Almasihu daga matattu ba, masu bi ba za su kasance ba (1 Korantiyawa 15:12-15)."
Others understand the Holy Spirit as the impersonal power that God makes available to followers of Christ.,Wadansu sun gane da Ruhu mai Tsarki kamar ikon sojan gona wanda Allah ya bai wa mabiyin Kiristi.
"Revelation 19:11-21 describes the ultimate war with Christ, the conquering commander who judges and makes war “with justice” (v. 11).","Wahayin Yahaya 19:11-21 ya bayyana yakin ƙarshe da Kristi, babban kwamandan da ke yin hukunci da yin yaƙi “da adalci” (aya 11)."
"Come to Jesus, and let Him restore your joy and usefulness as you trust Him to begin a new work in your life.","Kazo gun Yesu, ka yardar masa ya maido da farin cikin ka da tasirinka yayin da ka amince da Shi ya fara sabuwar aiki a rayuwar ka."
God still performs miracles.,"Wani lokacin nufin Allah ne ya warke, amma wani lokacin ba haka bane."
The Thursday argument expands on the Friday view and argues mainly that there are too many events (some count as many as twenty) happening between Christ’s burial and Sunday morning to occur from Friday evening to Sunday morning.,Hujjar Alhamis ta faɗaɗa kan ra'ayin Jumma'a kuma tana jayayya galibi cewa akwai abubuwa da yawa da yawa (wasu suna ƙidaya kamar ashirin) da ke faruwa tsakanin jana'izar Kristi da safiyar Lahadi don faruwa daga maraice Juma'a zuwa safiyar Lahadi.
Return to:,Koma zuwa shafin gida na Hausa
Is there an afterlife?,Na gode maka don alherinka mai ban mamaki da kuma gafara – kyautar rai madawwami!
"This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven’” (Acts 1:11).","Yesun nan da aka ɗauke daga gare ku aka kai shi Sama, zai komo ne ta yadda kuka ga tafiyarsa zuwa Sama.” (Ayukan Manzanni 1:11)."
Crucial Questions,English
"Acts 20:28 tells us, “Be shepherds of the church of God, which He bought with His own blood.” Who bought the church with His own blood?","Ayyukan Manzanni 20:28 tana gaya mana , “... da kuma duk garken da Ruhu Mai Tsarki ya sa ku ku zama masu kula da shi, kuma kiwon Ikilisyar Allah wadda ya samo wa kansa da jinin sa .” wane ne ya sayo Ikilisiya da jinin kansa?"
“In the thirty-ninth year of his reign Asa was afflicted with a disease in his feet.,"""A shekara ta talatin da tara ta mulkin Asa, sai wani ciwo ya kama shi a ƙafa."
"Either moral ideas are completely subjective, and therefore meaningless, or they must be grounded in some unchanging standard.",Babu wata daga waɗannan gardandami ciki ko kuma ta kan su da kan iya rinjaye wani wanda ya ƙi yarda da abin da yana a bayyane sarai.
Questions about Salvation,English
"It should be done at all times—at home, on the road, at night, and in the morning.","Yakamata ayi shi a kowane lokaci-a gida, akan hanya, da dare, da safe."
God allowed for the possibility of evil in order to give us a true choice in regards to whether we worship Him.,Allah ya yarda da yiwuwar mugunta domin ya bamu zaɓi na gaske game da ko zamu bauta masa.
"David assumed that he would be able to recognize his son in heaven, despite the fact that he died as a baby.","David ya ɗauka cewa zai iya gane ɗansa a sama, duk da cewa ya mutu tun yana jariri."
"In a similar way, throughout the Old Testament we see God’s judgment and wrath poured out on sin.","Hakazalika, a cikin Tsohon Alkawari duka muna ganin hukuncin Allah da fushinsa a kan zunubi."
The father loved the returned rebel as much as ever (verse 20).,Baban ya ƙaunace ɗan tawayen da ya komo kamar yadda ya saba (aya 20).
Agnostics are unwilling to make a decision either for or against God’s existence.,Ma su akidar zuhudu ba su da niyyar yanke hukunci ko don kasancewar Allah ko kuma akasin shi.
You can live a full and meaningful life right now.,Zaka iya yin cikakken rayuwa da rayuwa mai ma’ana yanzu-yanzu nan.
His name is Jesus.,Sunan sa Yesu ne.
There is something deep within fallen human nature that thirsts for revenge and urges retaliation in kind.,Akwai wani abu mai zurfi cikin mummunan halin mutum wanda yake jin ƙishirwa don ɗaukar fansa kuma yana buƙatar ɗaukar fansa a cikin alheri.
"God is immutable, meaning He is unchanging; this in turn means that God is absolutely reliable and trustworthy (Malachi 3:6; Numbers 23:19; Psalm 102:26, 27).","Allah mai adalci ne, ma’ana shi baya nuna tara ga mutane da azanci na nunan gatanci (Maimaitawar Shari’a 32:4; Zabura 18:30)."
The tithe was a requirement of the Law in which the Israelites were to give 10 percent of the crops they grew and the livestock they raised to the tabernacle/temple (Leviticus 27:30; Numbers 18:26; Deuteronomy 14:24; 2 Chronicles 31:5).,Zakka ta zama ƙa’idar doka wanda dukkan Isra’ilawa zasu bada 10% na komene da sun sami albashi da suka nome ga Alfarwa ta Sujada/Haikali (Littafi Firistoci 27:30; Littafin Lissafi 18:26; Maimaitawar Shari’a 14:24; 2Tarihi 31:5).
"A true Christian is a person who has put faith and trust in the person and work of Jesus Christ, including His death on the cross as payment for sins and His resurrection on the third day.",Amincewarsa ba ya cikin bin addini ko tsarin dokoki na halin kirki ko dai jerin abubuwan da za a yi da ba za a yi ba.
"For the first time, they knew what it was to be evil, to feel shame, and to want to hide from God.","A karo na farko, sun san menene mugunta, jin kunya, da son ɓoye wa Allah."
There is no easy plan to learn to walk in obedience to God.,Babu wani shiri mai sauƙi don koyan tafiya cikin biyayya ga Allah.
The Bible does not give us a list of what qualifies as a “hint” or tell us what physical activities are approved for a couple to engage in before marriage.,Littafi Mai Tsarki bai ba mu jerin abubuwan da suka cancanta a matsayin “ambato” ba ko kuma ya gaya mana irin ayyukan da aka yarda ma'aurata su yi kafin aure.
"Peter proclaimed, “Be self-controlled and alert.","""Ku natsu, ku kuma zauna a faɗake."
Hell is this infinite and eternal death which we have earned because of our sin.,Jahannama ita ce wannan mutuwar da ba ta da iyaka kuma madawwami wacce muka samu saboda zunubinmu.
"For those who have had an abortion, remember that the sin of abortion is no less forgivable than any other sin.","Ga wadanda suka zubar da ciki, su tuna cewa zunubin zubar da ciki ba karamin gafartawa bane kamar kowane zunubi."
Answer,Amsa
What they failed to understand is that there is only one Messiah and He would fulfill both roles.,Abinda suka kasa fahimta shine Masihu guda ɗaya kuma zai cika duka matsayin.
"Forgiveness is an act of love, mercy, and grace.","Gafara aikin ƙauna ce, jinƙai, da alheri."
Return to:,Koma zuwa shafin gida na Hausa
"As He proclaimed, “I am the way and the truth and the life.","Allahntakar Yesu shine ya sa yayi shela, “Ni ne hanya, ni ne gaskiya, ni ne kuma rai."
People were not enslaved because of their nationality or the color of their skin.,Ba a bautar da mutane ba saboda ƙasarsu ko launin fatar jikinsu.
"Darwin once identified himself as a Christian, but, as a result of some tragedies that took place in his life, he later renounced the Christian faith and the existence of God.","Darwin ya taba bayyana kansa a matsayin kirista, amma, sakamakon wasu masifu da suka faru a rayuwarsa, daga baya ya yi watsi da imanin Kirista da kasancewar Allah."
It is not the use of contraception that is wrong or right.,Ba aikin hana daukar ciki da kansa yake yanke hukunci ba ko kuskure ne ko daidai ne.
"Jesus Christ put an end to this, destroying the dividing wall of hostility (Ephesians 2:14).","Yesu Kiristi ya kawo ƙarshen wannan, yana rusa bangon rarrabuwa na ƙiyayya (Afisawa 2:14)."
"Wherever the meeting takes place, believers thrive on fellowship with other believers and the teaching of God’s Word.","Duk inda taron ya gudana, masu bi suna bunkasa cikin zumunci da sauran masu bi da koyarwar Kalmar Allah."
Return to:,Koma zuwa shafin gida na Hausa
"After all of this, we must be bold in our actual sharing of the gospel.","Bayan duk wannan, dole ne mu kasance da gaba gaɗi wajen ainihin wa'azin bishara."
"Being baptized is identifying yourself with Jesus’ death, burial, and resurrection (Romans 6:3-4).","Ayi baftisma shine shaidar kanka tare da mutuwar Yesu, binnewa, da tashinsa (Romawa 6:3-4)."
"Jesus is always in perfect agreement with the Father (John 10:30), so we cannot argue that war was only God’s will in the Old Testament.","Yesu koyaushe yana cikin cikakkiyar yarjejeniya tare da Uba (Yahaya 10:30), don haka ba za mu iya cewa jayayya nufin Allah ne kawai a Tsohon Alkawari ba."
Answer,Amsa
Thank You for Your wonderful grace and forgiveness - the gift of eternal life!,Na gode maka don alherinka mai ban mamaki da kuma gafara – kyautar rai madawwami!
Both teachings cannot be true.,Dukansu koyarwar ba za su iya zama gaskiya ba.
"Yet, today, many people are embracing a cultural relativism that denies any type of absolute truth.","Duk da haka, a yau, mutane da yawa suna rungumar alaƙa da al'adun gargajiya waɗanda ke musun kowane irin cikakkiyar gaskiya."
"The answer to this question depends somewhat on what is meant by “living together.” If it means having sexual relations, it is definitely wrong.","Amsar wannan tambayar ta dogara da ɗan abin da ake nufi da “zama tare.” Idan yana nufin yin jima'i, babu shakka kuskure ne."
"Always be prepared to speak of your faith (1 Peter 3:15), doing so with gentleness and respect.","Koyaushe a shirye don yin magana game da imanin ku (1 Bitrus 3:15), yin hakan cikin tawali'u da girmamawa."
They see the facets of Intelligent Design as evidence from the natural realm that supports this conclusion.,Daga nan sai su nemi hujja daga duniyar da za ta tallafawa ƙarshensu.
"God the Father bears witness of Jesus’ identity as well: “But about the Son he says, ‘Your throne, O God, will last forever and ever, and righteousness will be the scepter of your kingdom’” (Hebrews 1:8; cf.","A ƙoƙarin yin musun kalmomin Yesu, “masanan” zamani ta yau sun ɗauki “Yesu na gaskiya cikin tarihi” bai faɗe yawancin abubuwan da Littafi Mai Tsarki ta shafa masa ba."
"Being baptized is identifying yourself with Jesus’ death, burial, and resurrection (Romans 6:3-4).","Baftisma a sauƙaƙƙe dai mataki ne na biyayya, shaidar fili na bangaskiyarka cikin Kiristi kaɗai domin ceto."
"The Bible records Christ’s resurrection, records that over 500 people witnessed the resurrected Christ, and proceeds to build crucial Christian doctrine on the historical fact of Jesus’ resurrection.","Littafi Mai Tsarki ya rubuta tashin Almasihu daga matattu, ya rubuta cewa mutane sama da 400 ne suka shaida shi, kuma ya ci gaba da gina koyarwar Kirista mai mahimmanci akan gaskiyar tashin Yesu daga matattu."
"1 Corinthians 15:3-4 informs us of what we need to know and believe in order to be saved, ""...that Christ died for our sins according to the Scriptures, that He was buried, that He was raised on the third day according to the Scriptures..."" Jesus Himself declares that He is the only way of salvation in John 14:6, ""I am the way and the truth and the life.","Na hudu daga Dokoki Huɗu na Ruhaniya ita ce,” Dole mu sa bangaskiyarmu cikin Yesu Kiristi a matsayin mai ceto garin a karɓi kyautar ceto kuma a san shirin Allah mai ban mamaki domin rayukanmu.” Yahaya 1:12 ta kwatanta mana wannan,” Amma duk iyakar waɗanda suka karɓe shi, wato masu gaskatawa da sunansa, ya basu ikon zama ƴaƴan Allah.” Ayyukan Mazanni 16: 31 ta faɗe ta ƙarara ainun,”... ka gaskata da Ubangiji Yesu, zaka sami ceto!...” Zamu iya samun ceto ta alheri kaɗai, ta wurin bangaskiya kaɗai, cikin yesu Kiristi kaɗai."
Further study of the New Testament clarifies that the intent of this religion was to point to the need for a Savior-Messiah (Galatians 3; Romans 7).,Kara binciken Sabon Alkawari ya fayyace cewa manufar wannan addinin shine nuna bukatar Mai Ceto-Almasihu (Galatiyawa 3; Romawa 7).
"If people who never hear the gospel are automatically saved, then it is logical to make sure no one ever hears the gospel—because then there would be a chance they will reject it and be condemned.",Me yasa mutane zasu ƙi bishara kuma su hukunta kansu yayin da aka ceta a baya saboda basu taɓa jin bishara ba?
"Jesus is the only begotten Son of God (John 3:16), is the only one ever to have lived a sinless life, and now has the highest place of honor in heaven (Hebrews 7:26).","Yesu shine makaɗaicin begottenan Allah (Yahaya 3:16), shi kaɗai ne ya taɓa rayuwa marar zunubi, marar laifi, kuma yanzu yana da mafi girman daraja a sama (Ibraniyawa 7:26)."
"In Revelation, an angel instructed the apostle John to only worship God (Revelation 19:10).","Sau tari cikin Littafi Yesu ya amshi sujada (Matiyu 2:11; 14:33; 28:9,17; Luka 24:52; Yahaya 9:38)."
"The Bible views suicide as equal to murder, which is what it is—self-murder.","Bisa ga Littafi Mai Tsarki, ko da mutum ya kashe kansa ba shine abin da zai ƙudurta ko shi ko ita zai sami shiga cikin sama ba."
"Often, people doubt God’s existence because they do not understand or agree with the things He does and allows.","Yawancin lokaci, mutane suna shakkar wanzuwar Allah saboda ba su fahimta ko yarda da abubuwan da yake yi da kuma yarda."
"If so, Jesus also has remarriage in mind in this passage.","Idan haka ne, Yesu yana da batun sake yin aure cikin tunani a wannan wurin."
The sacrificial system was no longer needed (Hebrews 9:25-28).,Ba a bukatar tsarin hadaya (Ibrananci 9:25-28).
"In heaven, there will be no more pain, sickness, disease, suffering, or death (Revelation 21).","Cuta, cuta, ciwo, da kuma mutuwa har yanzu abubuwa ne na gaske a wannan duniyar."
"In Acts 18, Priscilla and Aquila are presented as faithful ministers for Christ.","Su Priskila da Akila suka kawo Afolos zuwa gidansu da kuma duk sun almajirtar da shi, an bayyan masa Maganar Allah mafi madaidaici (Ayyukan Manzanni 18:26)."
"“Fathers, do not exasperate your children; instead, bring them up in the training and instruction of the Lord” (Ephesians 6:4).","“Ku ubanni, kada ku sa 'ya'yanku su yi fushi, sai dai ku goye su da tarbiyya, da kuma gargaɗi ta hanyar Ubangiji” (Afisawa 6:4)."
Are the Ten Commandments repeated in the New Testament?,"Mutane da yawa suna kuskuren duban Dokoki Goma a matsayin tsararrun dokoki waɗanda, idan aka bi su, zasu tabbatar da shiga sama bayan mutuwa."
"If we trust in the death of Jesus Christ as the full payment for our sin, and we believe in His resurrection from the dead, we are guaranteed eternal life after death, in glory (1 Peter 1:3–5).","Amma Yesu Kiristi ya ɗauki hukuncin da ya cancance ni, don ta wurin bangaskiya a cikinsa in sami gafartawa."
"We know that God is real because He has revealed Himself to us in three ways: in creation, in His Word, and in His Son, Jesus Christ.","Mu san Allah hakika ne domin ya bayyana kan sa gare mu cikin hanyoyi uku: cikin halitta, cikin maganar Sa, da cikin Ɗan sa, Yesu Kiristi."
Return to:,Koma zuwa shafin gida na Hausa
Questions about Salvation,English
Answer,Amsa
Jesus is possibly saying that divorce is permissible if sexual immorality is committed.,Yesu mai yiwuwa na faɗin cewa an yarda da kisan aure idan anyi fasiƙanci.
"God intended mankind to have fulfillment in life, but our condition (especially touching our fellowship with God) was adversely affected by the fall into sin and the resulting curse upon the earth (Genesis 3).","Amma Allah yayi wat hanya ba kaɗai ya sa jin daɗi ainun na har abada ta yiwu ba (Luka 23:43), amma kuma wannan rai mai biyan muradi da mai ma’ana kuma."
Jesus said “a tree is recognized by its fruit” (Matthew 12:33).,Yesu yace “ana gane itace ta ‘ya ‘yan sa” (Matiyu 12:33).
"Their descendants would have inherited these advantages, albeit to lesser degrees.","Zuriyarsu za su gaji waɗannan fa'idodin, kodayake zuwa ƙananan digiri."
"So, should Christians go to doctors?","Don haka, ya kamata Kiristoci su je wurin likitoci?"
"At the same time, in some situations going into debt is a “necessary evil.” As long as money is being handled wisely and the debt payments are manageable, a Christian can take on the burden of financial debt if it is absolutely necessary.","Muddin ana tafiyar da kuɗi cikin hikima kuma ana iya biyan bashin bashi, Kirista na iya ɗaukar nauyin bashin kuɗi idan ya zama dole."
The only just penalty for our sins is death.,Hukunci kaɗai madaidaici don zunubanmu ita ce mutuwa.
"While there is no easy solution to the conflict in the Middle East, Psalm 122:6 declares, “Pray for the peace of Jerusalem: May those who love you be secure.”","Zabura 122:6 ta ce, ""Ku yi wa Urushalima addu'ar salama: Allah ya sa masu ƙaunarki su arzuta."""
“For all have sinned and fall short of the glory of God” (Romans 3:23).,"Mu masu zunubi ne bisa hali da zaɓi.” Gama ƴan adam duka sun yi zunubi, sun kasa kuma ga ɗaukakar Allah” (Romawa 3:23)."
"Maganar Allah, Littafi Mai Tsarki- 2Timoti 3:16-17 tana faɗi cewa Allah ya bamu maganarsa a shirya mu don kowace kyakyawan aiki.",(2)
The word “agnostic” essentially means “without knowledge.” Agnosticism is a more intellectually honest form of atheism.,"Kalmar ""agnostic"" da gaske tana nufin ""ba tare da ilimi ba."""
God possibly blessed this line with especially long life as a result of their godliness and obedience.,Ta yiwu Allah ya albarkaci wannan layin tare da tsawon rai musamman saboda ibadarsu da biyayyarsu.
Biblical truth should be the foundation of our homes.,Gaskiyar Littafi Mai Tsarki yakamata ta zama tushen gidajenmu.
"For example, David, in his defeat of Goliath, teaches us that God is greater than anything He asks us to face (1 Samuel 17), while his giving in to the temptation to commit adultery with Bathsheba reveals just how long-lasting and terrible the consequences of a moment’s sinful pleasure can be (2 Samuel 11).","Misali, a cikin kayen da Goliyat ya yi, Dauda ya koya mana cewa Allah ya fi duk abin da ya ce mu fuskanta (1 Sama’ila 17), yayin da ya ba da kai ga jarabar yin zina da Batsheba ya nuna yadda zai dawwama da ban tsoro."
"James, the brother of Jesus (not officially an apostle), was the leader of the church in Jerusalem.","Yakubu, ɗan'uwan Yesu (ba manzo ba a hukumance), shine shugaban cocin a Urushalima."
How do beliefs about creation impact the rest of theology?,"Kamar wannan, ra'ayoyin zamani na juyin halitta suna matsayin ""tatsuniyar halitta"" ne ga addinin rashin yarda da Allah."
"Even when disputing/dialoguing over prominent doctrines, a Christian should exercise restraint and show respect.","Ko da lokacin jayayya/tattaunawa game da manyan koyaswa, Kirista ya kamata ya kame kansa kuma ya nuna girmamawa."
The difficulty in determining the biblical canon is that the Bible does not give us a list of the books that belong in the Bible.,Matsalar da muke fuskanta game da tsarin Littafi Mai Tsarki shine cewa Littafi Mai Tsarki bai bamu jerin littattafan da suke cikin tsa ba.
God wants us to have assurance of our salvation.,Allah yana so mu sami tabbacin ceto.
"While this evidence is more subjective than the first two, it is no less a powerful testimony of the divine origin of the Bible.","Sa’anda wannan shaida ya zama ra’ayin wani ne fiye da shaidun ciki na farko, bata kasa ainun ƙwarai da ƙaƙƙarfar shaidar Littafi Mai Tsarki daga wurin Allah ne ba."
"So, the Bible’s command for us to forgive one another does not mean we ignore sin.",Don haka umarnin da Littafi Mai Tsarki yayi mana cewa mu yafewa junanmu baya nufin munyi watsi da zunubi.
This passage is often used as evidence that God does not approve of birth control.,"Sau da yawa, irin wannan son kai shine asalin tushen amfani da maganin hana haifuwa."
Answer,Amsa
You are not your own; you were bought at a price.,Sayenku aka yi da tamani.
Are altar calls biblical?,Babu waɗansu kalmomin”sihiri’ masu haifar da ceto.
"Discipline – teaching the fear of the Lord, drawing the line consistently, lovingly, firmly (Ephesians 6:4; Hebrews 12:5-11; Proverbs 13:24; 19:18; 22:15; 23:13-14; 29:15-17)","Horo - koyar da tsoron Ubangiji, jan layi akai, cikin ƙauna, da ƙarfi (Afisawa 6:4; Ibraniyawa 12:5-11; Misalai 13:24; 19:18; 22:15; 23:13-14; 29:15-17)"
Meaningless!,Me yasa akwai wofi irin haka?
"For example, our moral obligations toward God and the method of salvation are discussed in detail.","Misali, wajibanmu na halin kirki ga Allah da hanyar ceto an tattauna su dalla-dalla."
“The Spirit clearly says that in later times some will abandon the faith and follow deceiving spirits and things taught by demons” (1 Timothy 4:1).,"“To, Ruhu musamman ya ce, a can wani zamani waɗansu za su fanɗare wa bangaskiya, su mai da hankali ga aljannu masu ruɗi, da kuma koyarwar aljannu” (1 Timothawus 4:1)."
This prayer is simply a way to express to God your faith in Him and thank Him for providing for your salvation.,"Wace nan addu’a, hanya ce mai sauƙi a furta ga Allah bangaskiyarka a cikin Sa kuma ka gode masa don ya tanadar maka da ceto.”Allah, na sani cewa nayi zunubi gareka kuma na cancanci hukunci."
The most important thing we can do for those involved in cults or false religions is pray for them.,Babban abin da zamu iya yi wa wadanda ke cikin kungiyoyin asiri ko addinan karya shi ne yi musu addu’a.
"It contains God’s guidance for how to make wise decisions, how to know God’s will, how to minister to others, and how to grow spiritually.","Tana ƙunshe da bishewar Allah don yadda zaka yanke shawarwari masu hikima, yadda zaka san nufin Allah, yadda zaka hidimta wa waɗansu, da kuma yadda zaka yi girmar ruhaniya."
We have sinned against God infinitely more than any person can sin against us.,Mun yi zunubi ga Allah babu iyaka fiye da yadda kowane mutum zai iya yi mana.
This includes our innate sense of morality.,Na biyu shine gardamar mai zane.
"In AD 363, the Council of Laodicea stated that only the Old Testament (along with one book of the Apocrypha) and 26 books of the New Testament (everything but Revelation) were canonical and to be read in the churches.","A A.D. 363, Majalisar Laodicea ta bayyana cewa Tsohon Alkawari (tare da Apocrypha) da littattafai 27 na Sabon Alkawari ne kawai za a karanta a cikin majami'u."
