ha,sw
"Hakanan a cikin wannan hanyar, an saita iyakoki don ƙasar da Yahudawa zasu mallake.","In hierdie gedeelte van Skrif sien ons ook dat die grense, waar die Jode uitteindelik sal woon, aangedui word."
"Idan ba don alherin Allah ba, da an ba da mu ga sha'awoyin zunubi na zukatanmu, yana ba mu damar gano yadda rayuwa mara amfani da baƙin ciki ba tare da shi ba.","Kama isingekuwa ni neema ya Mungu, tungejitolea kwa mioyo ya dhambi, kujiruhusu kujigundulia vile maisha ni bure, yakustaajabisha ni sehemu kando naye Mungu."
English,Rudi kwa ukurasa wa nyumbani wa Kiswahili
Littafi Mai Tsarki tana gaya mana cewa dukanmu muna bukatar gafara daga wurin Allah.,Bibilia inatuambia ya kwamba sote tunahitaji msamaha toka kwa Mungu.
"A dukkan lokaci, masu shakka sun ɗauki Littafi Mai Tsarki kamar hikayar mafari amma kayan tarihin da aka haƙo ta ƙarfafa tarihin ta.","Vizazi vyote na nyakati zote duniani,wapinzani wamekuwa wakipuuza biblia na kusema ni hadithi tu za watu lakini watafiti wa kihitoria wadumu wakithibitisha ya kuwa biblia ni kitabu cha kweli."
"“Gama sakamakon zunubi mutuwa ne, amma baiwar Allah ita ce rai madawwami cikin Almasihu Yesu Ubangijinmu” (Romawa 6:23).","“Kwa maana mshahara wa dhambi ni kifo; lakini zawadi anayotoa Mungu ni uhai wa milele katika kuungana na Kristo Yesu, Bwana wetu” (Warumi 6:23, BHN)."
"“To, duk abin da kuke yi, ko ci, ko sha, ku yi kome saboda ɗaukakar Allah” (1 Korintiyawa 10:31).","“Basi, mlapo, au mnywapo, au mtendapo neno lo lote, fanyeni yote kwa utukufu wa Mungu” (1 Wakorintho 10:31)."
Amsa,Jibu
"Hakanan, ko da yake masu bada gaskiya a yau basa  ƙarƙarshin dokar Tsohon Alƙawari (Romawa 10:4; Galatiyawa 3:23-25; Afisawa 2:15), gaskiyar cewa da ma akwai doka gaba da jarfa ya isa ya sa mu tambaya.","Hata hivyo ijapokuwa waumini kwa sasa hawako chini ya sheria ya agano la kale (warumi 10:4; wagalatia 3:23 – 25; waefeso 2:15), hoja ya kuwa kulikuwa na sheria juu ya chale lazima lituletee maswaliagano jipya haisemi lolote juu ya muumini achanjwe chale au asichanjwe."
Ee.,Naamu.
Nassi bai taɓa faɗin abin da mata da miji suke ba ko kuma ba a yarda su yi jima’i ba.,Maandiko hayasemi ni kitu gani ambacho mume na mke wanastahili/hawastahili kufanya kimapenzi.
"Ba za a iya samun gwamnati ba, babu dokoki, kuma babu adalci, saboda mutum ba zai iya cewa mafiya yawan mutane suna da 'yancin yin da kuma tilasta mizani kan tsiraru ba.","Hakutakuwa na serikali, hakuna sheria, na hakuna haki, kwa sababu mtu hawezi sema kuwa wengi wa watu wako na haki kutengeza na kutekeleza sheria zao juu ya zile hafifu."
"Littafi Mai Tsarki tana cewa an ƙudurta mana mu mutu sau ɗaya tak, kuma bayan wannan shari’a zai zo (Ibraniyawa 9:27).",Bibilia inasema ya kwamba imetupasa kufa mara moja na baada ya kifo hukumu (Waebrania 9:27).
"Hakanan, 2 Sama'ila 7 ya ce Allah zai kafa sarki wanda zai yi mulki har abada.",Ook in 2 Samuel 7 sê God dat Hy ‘n koning vir altyd sal tot stand bring en wat vir altyd sal regeer.
An ba da shawarwari da yawa game da ko wanene 'ya'yan Allah kuma me yasa' ya'yan da suka haifa tare da 'yan mata maza suka girma zuwa tseren ƙattai (wannan shine kalmar da Nephilim take nunawa).,Kumekuwa na mapendekezo mengi kuwa ni nani hawa wana wa Mungu na ni kwa nini watoto waliozaa na binti za wanadamu walikua na kuwa kizazi cha majitu (hili ndilo neno Nephilim laoneka kuashiria)
"Dokar Tsohon Alkawari ta yi umarni da hukuncin kisa don ayyuka iri-iri: kisan kai (Fitowa 21:12), satar mutane (Fitowa 21:16), mafi kusantar dabbobi (Fitowa 22:19), zina (Littafin Firistoci 20:10), liwadi (Littafin Firistoci 20:13), kasancewa annabin ƙarya (Kubawar Shari'a 13:5), karuwanci da fyaɗe (Kubawar Shari'a 22:4), da wasu laifuka da yawa.","Sheria ya Agano La Kale iliruhusu adhabu ya kifo kwa matendo tofauti tofauti: Uuaji (Kutoka 21:1), utekaji nyara (Kutoka 21: 16), Ukatili (Kutoka 22: 19), uzinzi (Mambo Ya Walawi 20:10), usenge (Mambo Ya Walawi 20:13), kuwa nabii wa uongo (Kumbukumbu La Torati 13:5), ukahaba na ubakaji (Kumbukumbu La Torati 22: 4), na mendo mengine mengi maovu."
"Da yawan waɗansu nassoshi suna zancen bangaskiya ta zama abin tilas, kamar su Yahaya 20:27; Ayyukan Manzanni 16:31; Galatiyawa 2:16; 3:11, 26 kuma Afisawa 2:8.","Vipengele vingi kwenye Biblia vinazungumzia umuhimu wa imani, kama vile Yohana 20:27; Matendo 16:31; Wagalatia 2:16; 3:11, 26; na Waefeso 2:8."
"Ko da yake Sabon Alƙawari bata kwatanta jimla takamaimai ba ko kashi nawa daga cikin ɗari da za a bayar, tayi magana game da muhimmanci da fa’idodin bayarwa.","ijapokuwa agano jipya haitoi kiwango cha kutoa, inaelezea umuhimu na manufaa ya kutoa."
"Ranar farko ta mako, Lahadi, Ranar Ubangiji (Wahayin Yahaya 1:10) na murna da sabon halitta, tare da Kristi a matsayin Shugabanmu da aka tashe.""","Siku ya kwanza ya juma, siku ya Bwana (Ufunuo 1:10) za sherekea kiumbe kipya Kristo aliyefufuka akiwa kiongozi wetu."
"Tohe Dokoki Goma, dokoki game da mazauni, da tsarin hadaya duk Allah ne ya kafa su kuma Isra'ilawa ne zasu bi su.","Amri kumi, sheria kuhusu mahali pa kuabudu, na mpangilio wa dhabihu vyote viliwekwa na Mungu na ilikua ifuatwe na Waisraeli wote."
Mece ce Littafi Mai Tsarki tan faɗi game da Kirista wanda ya kashe kansa?,"Je, biblia inasemaje juu ya mkristo akijiua?"
Suna taimakawa wajen jawo mutane zuwa ga Kristi (Ayukan Manzanni 8:26; 10:3).,Wanazaidia kuleta watu kwa Kristo (Matendo Ya Mitume 8:26; 10:3).
Korantiyawa ta fari 15 ta ci gaba da bayanin yadda tashin Almasihu daga matattu ya nuna nasarar sa bisa zunubi kuma ya bamu ikon rayuwa cikin nasara bisa zunubi (1 Korantiyawa 15:25-34).,Wakorintho wa Kwanza 15 yaendelea kuelezea vile ufufuo wa Yesu waweza kuthibitisha ushindi wake juu ya dhambi ni kutupa uwezo kuishi maisha ya ushindi juu ya dhambi (1Wakorintho 15:24-34).
"Duk da haka, maƙasudin farko na jima’i ba na jin daɗi ba, amma dai na hayayyafa ne.",Hivyo tunazuiwa kufanya kitendo cha ngono kabla ndoa ili tusijipatie watoto tusiowatarajia.
Bai kamata ɓad da kuɗi ba.,Pesa zisifujwe.
Kwatancen “kamar yadda yake ga Ubangiji” yana tunatar da matar cewa akwai babban iko ga wanda take da alhakinsa.,Matthew Henry aliandika: “Mwanamke aliumbwa kutoka kwa ubafu wa Adamu.
"A zuwansa na farko, Yesu Bawa ne mai wahala.","Kukuja kwake mara ya kwanza, Yesu alikuwa mtumishi aliyetezeka."
Yana da mahimmanci a kuma lura cewa Kristi ya zo ne domin ya mutu domin ɗan adam kuma ya mutu sau ɗaya kawai (Ibraniyawa 7:27; 9:26-28; 10:10).,Ni muimu kutambua kwamba Kristo alikuja kufa kwa ajili ya mwanadamu na kwamba afe mara moja peke (Waebrania 7:27; 9:26-28; 10:10).
"4) Babu wani abu da aka ce game da damar mace, baiwa, ko kimarta; kasancewar ta yi biyayya ga mijinta baya nuna cewa tana kasa ko kuma kasan cancanta ta kowace hanya.",Utiifu ni hali ya heshima na ukamilifu.
"Idan akwai wuri don shakka game da ko yana faranta wa Allah rai, to ya fi kyau a bar shi.","Ikiwa hakuna nafasi ya shaka kama kwamba inamfurahisha Mungu, ni vizuri kuachana nayo."
English,English
"Ka lura cewa abin da muke buƙata yana zuwa ""ta wurin iliminmu game da shi,"" wanda shine mabuɗin samun duk abin da muke buƙata.","Kumbuka kwamba chenye tunahitaji kinakuja “kupitia ufahamu wetu kwake,” ambao ndio funguo wa kupata chochote tunachohitaji."
"Littafi Mai Tsarki tana cewa:”Na rubuto maku wannan ne, ku da kuka gaskata da suna Ɗan Allah, domin ku tabbata kuna da rai madawwami” (1Yahaya 5:13).","Bibilia yasema: “Nimewaandikia ninyi mambo hayo, ili mjue yakuwa mna uzima wa milele, ninyi mnaoliamini jina la mwana wa Mungu” (1 Yohana 5:13, TMP)."
"Lokacin da Ya ce, ""Ku yi haka don tunawa da ni,"" Ya nuna wannan bikin ne wanda dole ne a ci gaba a gaba.","Wakati alisema, “fanyeni hivyo kwa ukumbusho wangu,” alimaanisha ni sherehe ambalo lingendelezwa baadaye."
Masanan zamanin na rike da fassarar Littafi Mai Tsarki a matsayin mafi ingancin kayan tarihi.,Mfumo wa dini ni mpangilio wa kiteolojia ambao uko na misingi miwili tofauti.
Koma zuwa shafin gida na Hausa,English
Wani abin da za a yi la’akari da shi shi ne ko ƙaunataccen ɗan takara ne mai kyau don zama abokiyar zama.,Kitu kingine cha kuangalia ni kama anayependwa ni mtu amefusu kuwa mwenzi.
Kada a yi amfani da wannan don nuna cewa Yesu ya ƙi hukuncin kisa a kowane yanayi.,Hii isitumike kuonyesha kuwa Yesu alikataa hukumu ya kifo katika matukio yote.
"Wasu iyaye suna ganin cewa ""fitar lokaci,"" tushe, da/ko karɓar wani abu daga yaran ya fi tasiri wajen ƙarfafa canjin hali.","Wazazi wengine wanapata kuwa “kuwanyima wakati,” au kumanyanganya mtoto kitu itafanya kazi vizuri kwa kumtia mtoto moyo ili abadilishe tabia yake."
Muna jin muryarsa lokacin da muke ɓata lokaci cikin nazarin Littafi Mai-Tsarki da natsuwa cikin nazarin Kalmarsa.,"Tatu, tunasikia sauti yake wakati tunachukua muda wetu katika maombi, kujifunza na kutafakari neno lake."
"Almasihu Yesu wanda ya mutu, ko kuwa a ce wanda ya tashi daga matattu, shine wanda ke dama ga Allah, shine kuwa wanda ke roƙo saboda mu!” Wane ne zai ɗora laifi akan zaɓaɓɓun Allah?","Kristo Yesu, aliyetufia,akafufuka kutoka kwa wafu na sasa yuko mkono wa kuuma wa Mungu anatuombea.” Ni nani atakaye washtaki wateule wa Mungu?"
"Kyakkyawan gwaji shine don sanin ko zamu iya gaskiya, cikin lamiri mai kyau, roƙi Allah ya albarkaci kuma yayi amfani da wannan aikin don kyawawan manufofin sa.","Jaribio zuri ni lile linaloamua ikiwa tunaweza kwa kweli, kwa fikira safi, kumuuliza Mungu atubariki na kutumia kazi hiyo kwa lengo lake zuri."
Yesu ne”addini” na gaskiya idan kana neman gafara (Ayyukan manzanni 10:43).,Yesu ndiye ‘dini’ ikufaayo kama unatafuta msamaha (Matendo 10:43).
"Littafi Mai Tsarki tana gaya mana cewa ba kaɗai akwai rai bayan mutuwa ba, amma rai madawwami mai ɗaukaka da”Abubuwan da ido bai taɓa gani ba, kunne bai taɓa ji ba, zuciyar mutum kuma ba ta ko riya ba, waɗanda Allah ya tanadar wamasu ƙaunarsa” (1 Korantiyawa 2:9).","Bibilia inatuambia yakwamba sio maisha pekee tu baada ya kifo, bali kuna uzima wa milele wenye utukufu mwingi “Hakuna jicho limeshaona, wala sikio kuyasikia,wala hayakuingia katika moyo wa mwanadamu,mambo ambayo Mungu aliwaandalia wampendao’’ (1Wakorintho 2:9) Yesu Kristo, Mungu katika mwili, alikuja duniani kutupa karama ya uzima wa milele."
"Yesu koyaushe yana cikin cikakkiyar yarjejeniya tare da Uba (Yahaya 10:30), don haka ba za mu iya cewa jayayya nufin Allah ne kawai a Tsohon Alkawari ba.","Yesu kila mara amekubaliana kikamilifu na Baba (Yohana 10:30), kwa hivyo hatuwezi kupishana kuwa vita vilikuwa mapenzi ya Mungu peke katika Agano La Kale."
"Ba makawa, hankalin wani mutum ba da daɗewa ba zai yi karo da na wani.",Hakika mtu mmoja hisia zake za kweli hivi karibuni zitahitilafiana na za mwingine.
Koma zuwa shafin gida na Hausa,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Hakanan, jaririn bashi da wani laifi kuma bai kamata a hukunta shi saboda mugayen ayyukan mahaifinsa ba.","Pia, hakika mtoto huyo hana hatia, na asiadhibiwe kwa  tendo la uovu la babaye."
"Ma'aurata marasa aure ya kamata su guji duk wani abin da zai jarabce su da yin jima'i, wanda zai ba da kamannin lalata, ko kuma abin da za a iya yi wa kallon fati.","Wachumba ambao hawajaoana lazima waepuke matendo ambayo yanawajaribu kufanya uasherati, ambayo yanapelekea kuleta dhana ya usherati, au yatakayo pelekewa kuwa mazoezi kabla ya ndoa."
"Waɗanda ya kuɓutar ɗin kuwa, su ne ya ɗaukaka.” Afisawa 1:5 da 11 sun bayyana, “Ya ƙaddara mu mu zama 'ya'yansa ta wurin Yesu Almasihu, bisa ga nufinsa na alheri,.. A cikinsa ne aka maishe mu abin gādo na Allah, an kuwa ƙaddara mu ga haka bisa ga nufin wannan da yake zartar da dukkan abubuwa yadda ya yi nufi yă yi,” Mutane da yawa suna da ƙiyayya ƙwarai da gaske ga koyarwar ƙaddara.","Warumi 8:29-30 yatuambia, “Maana wale aliowajua tangu asili, aliwachagua tangu asili wafananishwe na mfano wa Mwana wake, ili yeye awe mzaliwa wa kwanza miongoni mwa ndugu wengi."
Harsuna basa faruwa a yau da kamannin da anyi ta cikin Sabon Alƙawari duk da zance cewa da zata yi amfani mai yawa.,Ndimi hazipatikani siku hizi kama ilivyofanyika katika agano jipya.
Koma zuwa shafin gida na Hausa,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Lokacin da Adamu yayi zunubi, halayensa na ciki ta canza ta zunubinsa na tawaye, ya kawo masa mutuwa ta ruhaniya da lalata wanda zai iya faruwa ga duk waɗanda suka zo bayansa.","Wanadamu wote, toka Adamu, hadi Musa wote waliwekewa kifo sio kwa sababu ya matendo yao ya dhambi kinyume na sheria ya Musa (ambayo hakuwa nayo), bali kwa sababu ya ule urithi wa hali ya dhambi."
Muna buƙatar yin addu'a cewa Allah ya tabbatar musu da bukatar su ta wurin Yesu Kiristi (Yahaya 3:16).,Tunastahili kuomba kwamba Mungu awathibitishie hitaji lao la wakovu kupitia Yesu Kristo (Yohana 3:16).
English,English
Matsalar da ke tattare da wannan ita ce a cikin Matiyu 22:30 wanda ke nuna cewa mala'iku basa yin aure.,Kasoro iliyo kwa sababu ya haya katika Mathayo 22:30 ambayo yaonyesha kuwa malaika hawaoi.
"Sa’anda Benjamin Franklin ya rubuta tarihin kansa, bai ɓata lokaci yi ƙoƙari ya tabbatar da kasancewar kansa ba.",Benjamin Franklin alipoandika habari zake mwenyewe hakupoteza muda kuthibitisha kama yeye mwenyewe alikuwapo.
Kwatanta Ishaya 61:1 da Luka 4:14-19 a ga cewa Ɗan ne ke magana.,Fananisha Isaya 61:1na Luka 4:14-19 kuona Mwana akizungumza.
Gaskiyar daya ce ga luwaɗanci.,Hata kwa ushoga pia si halali.
"Don samun zaɓi na gaske, dole ne Allah ya bar akwai wani abu banda kyakkyawan zaɓi.",Kwa hivyo Mungu aliruhusu hawa malaika huru na wanadamu kuchagua jema ama kukataa lililo jema (uovu).
Amsa,Jibu
"Abin godiya, Allah mai ƙauna da jinƙai ne- yana alla-alla ya gafarta mana zunubanmu!","Kwa shukurani, Mungu ni mwenye upendo na huruma-mwenye utayari wa kutusamehe dhambi zetu!"
Yi addu'a cewa Allah zai canza zuciyarsu ya buɗe idanunsu ga gaskiyar bishara (2 Korantiyawa 4:4).,Bid dat God hulle harte moet verander en hulle oë moet oopmaak (2 Korintiërs 4:4) teenoor die waarheid van die evangelie.
"Lokacin da Adamu yayi zunubi, halayensa na ciki ta canza ta zunubinsa na tawaye, ya kawo masa mutuwa ta ruhaniya da lalata wanda zai iya faruwa ga duk waɗanda suka zo bayansa.",Mfalme Daudi alisikitikia hali hii ya mwanadamu kuanguka katika Zaburi 51:5: “Tazama mimi naliumbwa katika hali ya uovu; Maana yangu alinuchukua mimba hatiani.”
Washegari aka giciye Yesu.,Siku iliyofuata alisulubiwa.
"Bugu da ari, me ya sa Allah zai yanke shawarar kawo ambaliyar a duniya (Farawa 6:5-7) alhali kuwa Allah bai taɓa hana mazan maza ko zuriyar Seth su auri mata talakawa ko zuriyar Kayinu ba?","Udhaifu wa mtazamo wa 2) na 3) ni kwamba, mwanadamu wa kiume wa kawaida anamuoa mwanamke wa kike wa kawaida haifafanui ni kwa nini uzao ulikuwa wa “majitu” au “mashujaa wa kale, wa wanadamu wanaojulikana.” Zaidi, ni kwa nini Mungu aliamua kuleta ghalika duniani (Mwanzo 6:5-7) wakati Mungu hakuwa amewakataza wana wa kiume wa wanadamu au kizazi cha Seth kuoa wanawake wa kawaida au uzao wa Kaini?"
Duk ya zama bisa ga iyawar Kirista da kuma bukatun ikilisiyar Allah kan ko ya cire zakka da/ko nawa ne shi ko ita kamata a bayar (Yakubu 1:5).,Kila mkristo sharti aombe na kutafuta hekima  kutoka kwa Mungu juu ya swala hili (Yakobo 1:5).
"Masu goyan bayan ranan Alhamis din sun nuna cewa wannan matsala ce musamman lokacin da rana ɗaya cikakke tsakanin Juma'a zuwa Lahadi itace Asabar, Asabar ɗin Yahudawa.","Wanaoiunga dhana ya mtazamo wa Alhamisi, wanaichukulia hii kuwa shida wakati siku nzima pekee kati ya Ijumaa na Jumapili ilikuwa Jumamosi."
"Gaskiyar cewa an ƙaddara masu bi (Romawa 8:29-30; Afisawa 1:5, 11), kuma an zaɓe su (Romawa 9:11; 11:28; 2 Bitrus 1:10), domin ceto a bayyane take.","Hoja kwamba Wakristo walikwisha teuliwa (Warumi 8:29-30; Waefeso 1:5,11), na kuteuliwa (Warumi 9:11; 11:28; 2 Petero 1:10), kwa wokovu ni jambo liko wazi."
"Littafi Mai Tsarki ta furta cewa duk da mutum (Farawa 2:7) da dabbobi (Farawa 1:30; 6:17; 7:15,22) suna da numfashin rai.",(Genesis 1:26-27).
Hukuncin da ya dace da wannan zunubi shine mutuwa (Romawa 6:23).,Hukumu ya haki kwa hiyo dhambi ni kifo (Warumi 6:23).
"Gaskantawa da gaskantawa da Allah na nufin gaskantawa da Kalmarsa, kuma kowane nassi hurarre ne daga Allah, wanda ke nufin ya fito ne daga gareshi (2 Timothawus 3:16).","Kumwamini Mungu kwa kweli yamaanisha kuwa unaamini katika neno lake, na maandiko yote ni pumzi ya Mungu, ambayo yamaanisha yalitoka kwake (Timotheo 3:16)."
English,English
Amsa,Jibu
Batun da ya fi wuya shi ne sanin abin da ke zunubi a ɓangarorin da Littafi Mai Tsarki bai yi magana kai tsaye ba.,Mambo magumu zaidi ni kutambua ni jambo lipi ovu katika zile sehemu ambazo Bibilia haizitaji moja kwa moja.
"Idan kai mara bada gaskiya (ko watakila sabuwar tuba) kana mai yiwuwa ce ma kanka, “sautin bai tada mani hankali ainun ko biyan wani muradi ba)!” Amma don Allah ka karanta zuwa gaba da ɗan kaɗan kawai.",Hali hii ya kutamanika yapatikana vipi?
Masu ba da shawara na ranar Alhamis za su iya yin tunani kamar haka: a ce ba ku ga aboki ba tun yammacin Litinin.,Mawakili wa Alhamisi wasema: ikiwa hujamwona rafiki tangu Jumatatu jioni.
Amsa,Jibu
"Masu kirkirar halittar Littafi Mai-Tsarki sun fara ne da yanke hukunci cewa bayanan littafi mai tsarki na halitta abin dogaro ne kuma daidai ne, cewa mai rai-Allah ne ya tsara rayuwar duniya.","Uumbaji wa kibibilia unaanza ukiwa na tamatisho kuwa matukio ya kibibilia ya uumbaji ni ya kuaminika na ni yako sawa hayana dosari, kwamba maisha katika dunia yalipangwa na agenti busara –Mungu."
"3) ""Kada ka kama sunan Ubangiji Allahnka a banza, gama zan hukunta duk wanda ya kama sunana a banza.""",7) “Usizini.” Amri hii inapinga kuwa na mapenzi na mtu mwingine isipokuwa mume au mke wako.
English,English
1) Likitocin ba Allah bane kuma bai kamata a kallesu haka ba.,1) Physicians are not God and should not be viewed as such.
"Ayyukan Manzanni 13:38 ta ce, “Saboda haka, ƴan’uwa, sai ku sani albarkacin mutumin nan ne ake sanar da ku gafarar zunubanku.”","Matendo 13:38 yasema, “Kwa hiyo ndugu zangu, nataka nyinyi mjue kwamba kwa kupitia huyu Yesu msamaha wa dhambi unatangazwa kwenu ” (KCV)."
"Duk da haka, wurin bata ambaci sake yin aure ba, amma kaɗai ta ce mai bada gaskiya baya a ɗaure ya ci gaba da auren idan abokin aure marar bada gsakiya yana son rabuwa.",Kitendo hiki cha zinaa si sharti la talaka bali ni nafasi ya talaka.
Surori 12-14 na 1 Korintiyawa na farko suna magana ne akan batun baiwar Ruhu.,Mlango wa 12-14 wa 1Wakorintho unashughulikia mada ya vipawa vya Roho Mtakatifu.
Akwai bambanci mai mahimmanci tsakanin matsayin biyu.,Kuna utafauti muimu kati ya misimamo hiyo miwili.
"Daga waɗannan wurare, Tabbatacce ne a sarari cewa haihuwar Yesu sakamakon Ruhu Mai Tsarki ne da ke aiki a cikin jikin Maryamu.","Kutoka kwa ukurasa huu, ni kweli kwamba kuzaliwa kwa Yesu kulikuwa kwa Roho Mtakatifu uliofanya kazi ndani ya Mariamu."
"Idan da kawai ya mutu kuma ya kasance matacce, wannan na nuna sadaukarwar sa bai isa ba.","Kama alikufa tu na kusalia kwa wafu, hiyo itaonyesha tabihu yake haitoshi."
"Gaskiya, a cewar kamus din, ""dacewa da gaskiya ko a zahiri; magana ce da aka tabbatar da ita ko aka yarda da ita gaskiya ce.""","Ukweli, kulingana na kamusi, ni “kupatana na hoja au uakikisho; kauli ambayo umethibitishwa, ambao unastahili kukubaliwa kuwa kweli.” Watu wengine watasema kuwa hakuna ukweli halisi, ni mitazamo na maoni."
"Daga qarshe, dole ne mu bar ceton masoyanmu ga Allah.",Ons dra ons familie en vriende se redding aan God op.
"Kowa dai yă zauna a cikin haƙƙaƙewa, a kan ra'ayinsa.",Kila mtu na athibitike katika akili zake mwenyewe.
"Ana cikakken maguɗin kome a gidan wasannin caca don a kwashi masu yawa da bayar da ribar ba kome, banda cincirindo da nisaɗi ta wofi.",Kila kitu ndani ya kasino kimeundwa kuchukua pesa za watu kwa wingi bila kurudishia chochote mwenye kutoa pesa hizo.
"Idan duk halittu yanzu suna shan wahala karkashin la'ana, duk wata rayuwa banda ƙasa ita ma zata sha wuya.","Kama viumbe wote sasa wanatezeka chini ya laana, maisha mengine mbali na ya dunia yatatezeka pia."
Kowa na iya barin wani abu na ɗan lokaci don neman kusanci ga Allah.,Kila mtu anaweza anaweza kuacha kitu chochote kwa muda na kuleta mawazo yake karibu na Mungu.
"Azumi yana canza mu, ba Allah ba.","Kufunga kunatubadilisha, sio kumbadilisha Mungu."
Ana yin wannan ta koyarwar littafi mai tsarki da kuma tarayyar Kirista.,Hii inafanyika kupitia kwa mafunzo ya Bibilia na ushirika wa wakristo.
Waɗansu na da ganewa zakkar Tsohon Alƙawari a matsayin tsara haraji domin tanadin bukatun Firistoci da Lawiyawa na tsarin hadayu.,"Wengine huchukulia ya kuwa fungu la kumi, katika agano la kale  ilikuwa kama sehemu ya ushuru uliokuwa ukitolewa  kwa ajili ya makuhani na walawi."
"Misalai 13:24 ya ce,","Kuambatana na huu uongozi wa upendo, si kitu kigumu kwa mwanamke kunyenyekea kwa uongozi wa mume wake (Waefeso 5:24; Wakolosai 3:18)."
Amsa,Jibu
Littafi Mai-Tsarki ya ce muna da zaɓi-duk waɗanda suka bada gaskiya ga Yesu Kiristi za su sami ceto (Yahaya 3:16; Romawa 10:9-10).,Bibilia inasema kwamba tuko na hiari- wale wote wamemwamini Kristo wataokolewa (Yohana 3:6; Warumi 10:9-10).
"Ƙauna Allah ba ta ma'ana da rikici da tsarkinsa, daidaisa, adalcinsa, ko ma fushinsa.","Upendo wa Mungu kwa vyovyote vile haugongani/hitilafiana na utukufu wake, utakatifu na haki yake hata gadhabu yake."
Menene Littafi Mai Tsarki ya ce game da ko za mu iya sanin mutane a bayan rayuwarsu?,Bibilia inasema nini kuhusu kama tutaweza kuwatambua watu katika maisha ya baadaye?
"Abin da Saul ya fara, Dauda ya ci gaba.","Chenye Saulo alianzisha, Daudi aliendeleza."
"Misalan su ne Yusufu, dan Yakubu; Yusufu, mijin Maryamu; Sulemanu; Ishaya; Ezekiyel; Daniyel; Bitrus; da Bulus.","Kwa mfano Yusufu, mwana wa Yakobo; Yusufu, mume wa Mariamu; Suleimani; Isaya; Danieli; Petero; na Paulo."
Gyara ne ko addini kawai?,Urejesho au dini zaidi?
Wauta ce a yi muhawara game da adalcin Allah da ya tura wani gidan wuta wanda bai taɓa samun damar jin bisharar Kristi ba.,Kitu kibaya zaidi tunaweza kufanya ni kushiriki injili na mtu na kumfanya huyu mtu aikatae hiyo injili.
English,English
Hakanan akwai littattafai da shafukan yanar gizo waɗanda ke musanta kowane ɗayan waɗannan kurakuran da ake tsammani.,Pia vitabu na mitandao amabayo inapinga au mtu yeyote mwenye aliye na kasoro yoyote kuhusu Bibilia.
Suna bautar Allah (Ibraniyawa 1:6; Wahayin Yahaya 5:8-13).,Malaika wazuri wametumwa na Mungu ili kuwazaidia wakristo (Waebrania 1:14).
"A cikin Afisawa 6:4, an gaya wa iyaye kada su tsokane yaransu.","Katika waefeso 6:4, akina baba wameambiwa wasiwachokoze watoto wao."
Amsa,Jibu
"Game da Ruhu Mai Tsarki dubi: Yahaya 14:16,26; 15:26; 16:7 kuma musamman Yahaya 16:13-14.",Kuhusu Mwana tazama: luka 22:42; Yohana 5:36; Yohana 20:21; Yohana wa kwanza 4:14. kuhusu Roho Mtakatifu tazama Yohana 14:16; 14:26; 15:26; 16:7 na hasa Yohana 16:13-14.
Wurin ya ci gaba da cewa babu jituwa tsakanin Kristi da Ibilis (Shaidan).,"Ufahamu huu unaendelea na kusema kuwa, hakuna upatano wowote kati ya Kristo na Berieli (Shetani)."
Kowane annabci game da Yesu Kiristi a Tsohon Alkawali ya cika a zahiri.,Kila unabii kuhusu Yesu Kristo katika Agano La Kale ulitimia.
Amsa,Jibu
"Ikklisiya ya zama wuri wanda ke inganta addu'a, yana koyar da addu'a, da yin addu'oi.","Kanisa linastahili kuwa mahalipa  kukuza maombi, kufunza juu ya maombi na kufanya zoezi la maombi."
"A lokaci guda, yana ɗaukar imani kamar yadda yakamata a yi imani da rashin yarda da Allah.",Terselfdertyd neem dit net soveel geloof om in ateïsme te glo.
An ambaci likitoci kusan sau goma a cikin Littafi Mai-Tsarki.,Madaktari kwetu tumeelezwa takribani dazeni katika Bibilia.
Babu waɗansu kalmomin”sihiri’ masu haifar da ceto.,Ni kwa imani tu ndani ya kifo cha Yesu na kufufuka kwake vinavyo weza kutuokoa.
"Gafara aikin ƙauna ce, jinƙai, da alheri.","Msamaha ni ishara ya upendo, huruma na neema."
Yadda muke kallon kowane yanayi yana shafar yadda muke kallon duniya gabaɗaya.,Vile tunavyoiangalia hali imeshawishiwa na vile tunavyoiona dunia.
Girman ruhaniya tsari ne na rayuwa wanda ya dogara da bincikenmu da amfani da Kalmar Allah (2 Timothawus 3:16-17) da kuma tafiya cikin Ruhu (Galatiyawa 5:16-26).,Ukuaji wa kiroho ni kitu kinachoendelea katika maisha yetu ikitegemea vile tanavyolisoma na kulitumia neno la Mungu (2 Timotheo 3:16-17) na mienendo yetu katika roho (Wagalatia 5:16-26).
Ceton mu tabbatacce tana tsare har abada.,Kuokolewa kwetu ni kwa milele.
"Yahaya 1:1 tana cewa, “ Kalman nan kuwa Allah ne .” Yahaya 1:14 tana cewa “Kalman nan kuwa ya zama mutum.” Wannan a fili tana nunin cewa Yesu shine Allah cikin tsoka.",Yohana 1:14 inasema “Neno akafanyika mwili.” Hii inaonyesha wazi ya kwamba Yesu ni Mungu katika mwili.
Sunan sa Yesu ne.,Jina lake ni Yesu.
