yo,sw
Idahun,Jibu
"Nítorípé ọkọ ni iṣe orí aya, gẹ́gẹ́ bí Kristi ti ṣe orí ìjọ rẹ̀: oun sì ni Olùgbàlà ara"" (Efesu 5:22 -23).","Kwa maana mume ni kichwa cha mkewe, kama Kristo naye ni kichwa cha Kanisa; naye ni mwokozi wa mwili” (Waefeso 5:22-23)."
"Ti eyi ko ba to, a o mo wipe Oluwa wa ninu okan wa.",Kuna ushahidi wakuweko kwa Mungu ndani ya mioyo yetu.
A wá gbọ́dọ̀ máa fi àwọn ẹ̀bùn ẹ̀mí wa si ojú ìṣe láti mú kí ara yẹn ṣiṣẹ́ déédé bí a tí kọọ́ ní Kọrinti kínni 12:13.,Kwa hivyo lazima tuviweka katika matendo vipawa vyetu vya Roho ili tuuweke mwili wa Kristo kuendelea kufanya kazi kulingana na 1Wakorintho 12:13.
"Mimo ni oluwa ati olu dande o si ni lati fiya je ese, sugbon o ni fe wa, o si pese idariji fun ese wa.","Mungu ni mtakatifu na mwenye haki hivyo ni lazima aadhibu dhambi, lakini pia, Ye atupenda na ameweka njia ili tupate msamaha wa dhambi zetu."
"Ninu ile aye yi, awon omo eniyan ni won fe di gidi, ti won si ro wipe awon le ni itumo.","Katika maisha yetu ya siku baada ya siku, watu hushughulikia malengo mbalimbali wakidhania watapata maana ya maisha ndani yake."
Ìṣòro kan tí ó wọ́pọ̀ pẹ̀lú àwa Kristiẹni ni ìdánwò láti rò wípé iṣẹ́ ẹ̀sìn wa sí Ọlọ́run gbọ́dọ̀ wà ní ìlànà pẹ̀lú ẹ̀bùn ẹ̀mí tí a rò wípé a ní.,"Shida moja kwa Wakristo wote ni jaribio la kudumu katika sehemu yetu ya kipawa, ndio njia pekee tutaweza kumfanyia Mungu kazi katika sehemu zetu tunajihisi tumepewa kipawa."
"Oluwa jinde ninu isa oju; “Eni ti a fi tore fun ese wa, ti o si jinde nitori idalare wa” (Romu 4;25).","Yesu alifufuliwa kutoka kwa wafu “Alitolewa kwa ajili ya makosa yetu nakufufuliwa ili tupate kuhesabiwa haki” (Warumi 4:25, TMP)."
"Bẹ́ẹ̀ni, ìgbéraga, owú, abbl., jẹ́ àwọn ẹ̀ṣẹ̀ tí Bíbélì dá l'ẹ́bi; ṣùgbọ́n, a kọ́ wípè wọ́n ní ""àwọn ẹ̀ṣẹ̀ aṣekúpani méje"" nínú Bíbélì.","Ingawa hizi ni dhambi sizizo weza katawaliwa, hazijawai patiwa elezo la “dhambi saba mbaya sana” katika Bibilia."
Ife ni baba re ni si nigba ti omo re pada (ori 20).,"Babae alimpenda sana huyu mwanae mwasi aliporudi, zaidi hata kuliko mwanzo (aya20), yote yalisamehewa na sherehe ikafuata (aya24)."
"Loto o ti ru ibanuje wa, o si gbe ikanu wa lo; sugbon waw ka a si bi eniti a na, ti a lu lati odo Olorun, ti a si pon Loja.",Mtu mwenye huzuni ajuaye sikitiko na kama mmoja wa wengine ambao wanadamu huzuia nyuso zao wasiwaone akadharalauliwa wala hatukumhesabu kuwa kitu.
"Àwọn olùfaramọ́ ìwòye Ọjọ́'bọ̀ tọ́kàsi wípé èyí jẹ́ ìṣòro pàápàá nígbàtí ó jẹ́ wípé Ọjọ́ Àbámẹ́ta, ọjọ́ ìsinmi àwọn Júù nìkan ni ọjọ́ kíkún tí ó wà láàrin Ọjọ́ Ẹtì àti Ọjọ́ Àìkú.","Wanaoiunga dhana ya mtazamo wa Alhamisi, wanaichukulia hii kuwa shida wakati siku nzima pekee kati ya Ijumaa na Jumapili ilikuwa Jumamosi."
"Láti ìgbànáà, ẹ̀ṣẹ̀ ti sàn wálẹ̀ sí gbogbo ìran ọmọ ènìyàn àti wípé àwa, ìran Adamu, ti j'ogún ẹ̀ṣẹ̀ láti ọ̀dọ̀ rẹ̀.","Tangu wakati huo, dhambi imekuwa ikipitishwa kwa vizazi vyote vya mwanadamu, na sisi kama uzao wa Adamu tumerithi dhambi kutoka kwake."
Idahun,Jibu
"Lẹ́hìn ikù Rùselì nì 1916, Judge J. F. Rutherford, Ọ̀rẹ́ Rutherford, àti ẹni tì ó wá lẹ́hìn rẹ̀, kọ abala kéje àti ìparí ""Ìbẹ̀ẹ̀rẹ̀ ti Ẹgbẹ̀rún ọdún,"" àwọn àkójọpọ̀ rẹ̀, ""Àdìtú Àṣeparí,"" ní 1917.","Rutherford, rafiki wa Russell na mrithi, alikiandika kitabu cha saba na cha mwisho cha msururo wa “Uchao wa millennia,” “Fumbo lilo kamilika” katika mwaka wa 1917."
"Nítorí ìjẹ́ olódodo àti ìwà mímọ́ ti Ọlọ́run, gbogbo ẹ̀ṣẹ̀—àtijọ́, lọ́wọ́lọ́wọ́, àti ọjọ́ iwájú—ni a gbọ́dọ̀ dá lẹ́jọ́.","Kwa sababu ya utakatifu wa Mungu na tabia (mtindo) yake takatifu, dhambi zote, za zamani, sasa na zijao zitahukumiwa."
"Gbogbo ènìyàn ni yóò dúró níwájú Kristi tí yóò sì gba ìdájọ́ fún ìṣe rẹ l'ọ́jọ́ kan. Bí ó ti hàn kedere wípé ìtẹ́ ìdájọ́ funfun ńlá ni ìdájọ́ ìkẹyìn, àwọn onígbàgbọ́ lòdì sí bí ó ti jẹ mọ́ àwọn ìdájọ́ mìíràn tí a mẹ́nu bà nínú Bíbélì, pàápàá jùlọ, ẹnití a ó dá l'ẹ́jọ́ ní ìtẹ́ ìdájọ́ funfun ńlá.",Hii ni hukumu ya wale wasio Wakristo ambayo watahukumiwa kulingana na kazi yao na kuhukumiwa ile hukumu ya ziwa la moto.
Se ilopo re pelu awon enia re ja si asan?,"Je, uhusiano wako nao umekuwa si wa kina na bila muelekeo?"
Gbogbo ènìyèn lè fi ohun kan sílẹ̀ fún ìgbà díẹ̀ láti lè súnmọ́ Ọlọ́run.,Kila mtu anaweza anaweza kuacha kitu chochote kwa muda na kuleta mawazo yake karibu na Mungu.
Wọ́n máa ńyọ̀ nínú ohun tí Ọlọ́run ṣe (Jobu 38:6-7).,Wanafurahia kwa kile Mungu amefanya (Ayubu 38:6-7).
"Èyí jẹ́ ìbéèrè àlùfàǹsá, nítorí Bíbélì fi yé wa pé Kristiẹni tòótọ́ kò lè gbé ìgbé-ayé ""bí ó bá ṣe wùú.""","Hili ni swali lizilo na msingi wowote, kwa sababu Bibilia imeliweka wazi kuwa Mkristo hawezi ishi “njia yoyote atakayo.” Wakristo ni viumbe vipya (2 Wakorintho 5:17)."
Se ile aye yi je gege bi ilekun ti a n gba jade ati ti a n gba wole ninu ile aye lati le ni ogo n la?,"Bibilia inatuambia yakwamba sio maisha pekee tu baada ya kifo, bali kuna uzima wa milele wenye utukufu mwingi “Hakuna jicho limeshaona, wala sikio kuyasikia,wala hayakuingia katika moyo wa mwanadamu,mambo ambayo Mungu aliwaandalia wampendao’’ (1Wakorintho 2:9) Yesu Kristo, Mungu katika mwili, alikuja duniani kutupa karama ya uzima wa milele."
"Kíkọ́ ìpìlẹ̀ ìgbeyáwo lóri ìwà bí ọlọ́run, ọ̀pọ̀lọpọ̀ tọkọtaya rí àwọn ọ̀nà tí ó ṣé mú lọ sí ojúṣé láti ṣe ìrànlọ́wọ́ kí àwọn ìgbéyàwó lè pẹ́: lílo àkókò tí ó jọjú papọ̀; sísọ wípé, ""Mo nífẹ̀ rẹ"" lóòrékóòrè; níní inú rere; fífi ìfẹ́ hàn; mímọ rirì; jíjáde lọ; ṣiṣe àkọsílẹ̀ nǹkan; fífún ni àwọn ẹ̀bùn; àti gbígbaradì láti dáríjì, fún àpẹẹrẹ.",Hiyo inamaanisha kuwa zaidi ya nusu ya wachumba wanaochukua kiapo “Hadi kifo kitutenganishe” wanakivunja kiapo hicho.
Àkójọ àbáláyé tí àwọn ẹ̀ṣẹ̀ aṣekúpani méje lè ṣiṣẹ́ gẹ́gẹ́ bí ọ̀nà láti to ọ̀pọ̀lọpọ̀ oríṣi ẹ̀ṣẹ̀ tí ó wà sí ìṣòrí.,Orodha ya kale ya dhambi saba mbaya sana inaweza fanya kazi kama njia nzuri ya kuratibisha aina mbali mbali ya dhambi ambazo ziko.
Idahun,Jibu
"Rántí, nínú àdúrà, Ọlọ́run ni inú dídùn sí bíbá Òun sọ̀rọ̀ àti kí a sọ̀rọ̀ láti ọkàn wa ju nínú àwọn ọ̀rọ̀ tí a lò ní pàtó.","Kumbuka, katika maombi Mungu ako na aja na sisi tunapowasiliana na Yeye tunapoongea kutoka ndani ya moyo wetu, anaangalia meneno tunayotumia."
"Agbègbè àti àkọ́rí lè ti yípadà, ṣùgbọ́n ikọ̀ ogun wa sì gbọ́dọ̀ níyì bí ti àwọn Balógun nínú Bíbélì.","Mahali na cheo huenda vimebadilika, lakini jeshi letu lichukuliwe kuwa la maana kama lile la Bibilia."
"Lákòótán, àti ní pàtàkì jùlọ, a gbọ́dọ̀ mú àyọkà ní ìtumọ̀ tí o dára, ṣe déédé, mọ́, tọ́, àti gẹ́gẹ́ bíi wọn ṣe kọọ́ sílẹ̀, à fi tí èròǹgbà náà bá túmọ̀ sí wípé o ní àbùdà àkànlò èdè.","Dan ook, baie belangrik, verse moet altyd verstaan word in hul normale, gewone letterlike betekenis, behalwe as die konteks van die gedeelte aantoon dat dit figuurlik is."
Díẹ̀ lára àwọn ẹsẹ wọ̀nyìí ni Lefitiku 7:11; Oniwaasu 1:6-7; Jobu 36:27-29; Orin Dafidi 102:25-27 àti Kolosse 1:16-17.,Baadhi ya kurasa kama Mambo Ya Walawi 17:11; Mhubiri 1:6-7; Ayubu 36:27-29; Zaburi 102:25-27 na Wakolosai 1:16-17.
"“Nitorina ni nwon wi fun u pe, Ne oju re ti se la”Johannu 10;10).",“Furahini katika Bwana naye atawapa myatakayo mioyoni mwenu” (Zaburi 37:4).
Iwe Majemu Titun si wi fun wa wipe ki ase irubomi eyi.,Agano jipya halielezi kiasi cha pato ambacho ni kitengwe kwa ajili ya kusimamia kanisa.
"Láìsí ìbáṣepọ̀ yẹn, ayé kò ní ìtumọ̀ tí ó ṣe kókó.","Bila huo uhusiano, maisha kweli hayana lengo."
"Ní ìgbà ti iṣẹ́ ìránṣẹ́ Rẹ̀ ńparí, ""Láti igbana lọ ni Jésù ti bẹ̀rẹ̀ si ífihàn àwọn ọmọ-ẹ̀hìn rẹ̀ bi òun kò ti lè ṣàìlọ si Jerusalemu, láti jẹ ọ̀pọ̀ ìyà lọ́wọ́ àwọn àgbàgbà àti àwọn olórí alufa, àti àwọn akọ̀wé, kí a si pa òun, àti ni ọjọ́ kẹta, kí òun si jíǹde"" (Matteu 16: 21-22).","Petro akamchukua, akaanza kumkemea, akisema, hasha, Bwana, hayo hayatakupata” (Mathayo 16:21-22)."
,Ìfẹ́ kìí yẹ̀ láé (1 Kọrinti 13:4-8a).
Olorun ni kan ni o le san iru gbese ayeraye naa.,Mungu pekee ndiye angeweza kulipia adhabu kama hiyo.
"Ti ebun ede yi ba wa ni ijo loni, a ni lati se gege bi Bibeli se so.",Pia kama kipawa hiki kingekua hai kwa wakati huu kanisani kingefanyika sawa na maandiko.
"Bí kò bá si ọkankan ninú méjèji ti ó ni ẹ̀ri tabi ti kò ni ẹ̀ri, ó jẹ́ ohun ọlọgbọ́n láti sa gbogbo ipá làti ṣe àyẹ̀wò fínífíní ipò náà tí o lè ti ní àìlópin àti ayérayé sí àbájáde ìkẹhìn tí à ń fẹ́ jùlọ.","As nie een van die twee sienings bewys of weerlê kan word nie, blyk dit wys te wees om alle pogings aan te wend om die siening wat ‘n oneindige en ewige meer begeerlike eindresultaat mag hê, deeglik te ondersoek."
"Oluwa si ti fi ara re han ninu oro re, Bibeli.",Mungu pia amejidhihirisha kwetu katika neno lake Biblia.
"Lákòótán, ọmọ Ọlọ́run ńtẹ̀lé Jésù gẹ́gẹ́ bí Olúwa.","Mwisho, latumfuate Yeso kama Bwana."
Ọ̀pọ̀lọpọ̀ àwọn ìtàn tí ó jẹ́ òtítọ́ tí a àkọsílẹ̀ nínú Bíbélì ni a ti jẹ́rìsí nípasẹ̀ àwọn orísun àfikún Bíbélì.,Nyingi ya hoja za kiistoria ambazo zimeandikwa katika Bibilia zimethibitishwa na sehemu zingine za kibibilia (vitabu na mitandao).
"Bíbélì sọ wípé ìgbeyàwó yóò mú kì ọkùnrin kan àti obìnrin kó di ""ara kan."" Dídi ara kan yìí ńfarahàn jùlọ ní kíkún nínù ìsopọ̀ lára nípa ìbárẹ́ ti ìbálòpọ̀.","Mwanamume na mwanamke, wakati wameoana wanakuwa “mwili mmoja.” Huu umoja umedhihirishwa mara nyingi katika tendo la ndoa."
"Ọjọ́ mẹ́fà ni ìwọ ó ṣiṣẹ́, tí ìwọ ó ṣiṣẹ́ rẹ gbogbo, ṣùgbọ́n ọjọ́ kéje ni ọjọ́ ìsinmi OLÚWA Ọlọ́run rẹ.","Maana, kwa siku sita BWANA alifanya mbingu, na nchi, na bahari, vyote vilivyomo, akastarehe siku ya saba; kwa hiyo BWANA akaibarikia siku ya Sabato akaitakasa.” Amri hii ni kutenga Sabato (Jumamosi, siku ya mwisho ya juma) kama siku ya kupumzika ambayo imetolewa kwa Mungu."
Opolopo ni won si tun bere wipe kini itumo aye yi.,Watu wengi hawajaacha kufikiria juu ya maana ya maisha ni nini.
"A ma n pe jo lati gba adura, asiko adura, bebe, sugbon  a ki n lo bi awon ara omo lehin Kristi ti se so (Ise Awon Aposteli 3:1; 4:31; 6:4; 13:1-3, bebe.).","Tuna ibada za maombi na nyakati za maombi na kadhalika lakini hatuoni manufaa ya jambo hilo sawa na kanisa la kwanza (Matendo 3:1; 4:31; 6:4; 13:1-3, na kadhalika)."
"Jesu wipe, “Emi ni ajinde ati iye; enitio ba gba mi gbo, bi o tile ku, yio ye.” Enikeni ti o mbe laye, ti o si gba mi gbo, ki yi o ku lailai.","Yesu alisema, “Mimi ndimi huo ufufuo na uzima."
"Kò lè sí ìjọba, kò lè sí òfin, kò lè sí ìdájọ́ òdodo, nítorí wípé ènìyàn kò lè sọ wípé ọ̀pọ̀ àwọn tí wọ́n ní ẹ̀tọ́ láti ṣe òṣùwọ̀n àti láti fi pá mú àwọn ìyókù.","Hakutakuwa na serikali, hakuna sheria, na hakuna haki, kwa sababu mtu hawezi sema kuwa wengi wa watu wako na haki kutengeza na kutekeleza sheria zao juu ya zile hafifu."
Ogun jẹ́ ohun tí ó burú.,Ni kitu kiovu namna gani.
Èyí yóò jọ bí àwọn tọkọtayà ẹ̀yà ọ̀tọ̀tọ̀ ṣe máa ńní àwọn ọmọ tí àwọ̀ wọn yàtọ̀ sí ara wọn.,Hii inaweza kuwa sawa na vile kizazi kina changanyika na kuzaa watoto walio na rangi tofauti.
"Bíbélì kò sọ fún wa lẹ́kúnrẹ́rẹ́ orísun oríṣiríṣi ""ẹ̀yà"" tàbí ""àwọ̀"" tí ènìyàn ní.",Bibilia kwa ukamilifu haituelezi mwanzo wa “rangi” au rangi ya ngozi tofauti ya mwanadamu.
Ọ̀pọ̀lọpọ̀ ìwé mímọ́ jẹ́ kí ó hàn kedere l'ọ́pọ̀lọpọ̀ wípé ìgbàlà wa ní a pamọ́ ní kété tí a gba Kristi gẹ́gẹ́ bíi Olùgbàlà.,Maandiko mengi zaidi sana yaifanya kuwa wazi kwamba wokovu wetu tutaupata tukimpokea Yesu kama mwokozi wetu.
Ìmísí túmọ̀ sí wípé òótọ́ ni Bíbélì jẹ́ Ọ̀rọ̀ Ọlọ́run tí ó sì mú kí Bíbélì dáyàtọ̀ láàrin àwọn Ìwé yòókù.,"Kwa mjibu wa Bibilia, neno “pumzi” lamaanisha “Mungu aliwafanyia imla” pumzi yamaanisha kwamba Bibilia kweli ni neno la Mungu na inafanya Bibilia kuwa ya ajabu kati ya vitabu vyote."
"Gẹ́gẹ́ bíi àfojúsùn yìí, Ọlọ́run da èdè wọn rú, tí ó fa ìyapa lédè, tí ó sì jẹ́ ohun tí ó mú kí ẹ̀yà kọ̀ọ̀kan yàtọ̀ sí òmíràn wà ní ìlànà pẹ̀lú ibi tí wọn yóò máa gbé.","Kulingana na mtazamo huu, Mungu alichanganyisha lugha, kuwafanya wanadamu kutawanyika kilugha, na hapo akaumba chembe chembe za damu tofauti kulingana ni wapi kikundi fulani kitaishi."
Ile aye yi ko wulo fun o mon….,Hata hivyo kujiua kutasaidia tu kuleta huzuni na upweke kwa wale wakupendao ambao hukutaka kuwaudhi wala wahuzunike na kusababisha Makovu mengine ambayo yatadumu maishani mwao mwote.
Sugbon iwe mimo ko so wipe ki kristiani ma mu oti waini tabi ogogoro miran.,Wakristo  wanakatazwa kuachilia miili yao itawalwe na vitu vinginevyo.
"Fún àpẹẹrẹ, Dafidi, nínú ìṣẹ́gun rẹ̀ lórí Gòláyátì , kọ́ wa wípé Ọlọ́run ju ohunkóhun tí Òun ní kí á dojúkọ lọ (1 Samuẹli 17), nígbàtí gbigbà ìdánwò láàyè láti ṣe àgbèrè pẹ̀lú Baaṣeba ṣe àfihàn bí ìjìyà ìgbádùn ẹ̀ṣẹ̀ kan ti le pọ̀ àti burú tó (2 Samuẹli 11).","Kwa mfano Daudi kumshinda kwake Goliathi yatufunza kwamba Mungu ni mkuu kuliko kitu chochote atuitishacho uso kwa uso (1 Samweli 17), bali kwanguka kwake kwa majaribu na kufanya uzinzi na Bath-sheba yaonesha vile uovu wa muda waweza kudumu na madhara yake (2 Samweli 11)."
"Bí ó bá túmọ̀ sí níní àwọn ìbáṣepọ̀ ìbálòpọ̀, ó jẹ́ àṣìṣe tí ó dájú.","Jibu kwa swali hili linategemea hasa ni nini inamaanishwa kwa “kuishi pamoja.” Kama inamaanisha kuwa na tendo la ndoa, basi hapo ni mbaya."
"Orin Dafidi 18:2; 95:1; 1 Peteru 5:4; Heberu 13:20), sugbon e yi ye ki o je ki awon enia fi mon nipa ipase re pelu awon omo leyin re.","Mifano ya aya zinazofundisha juu ya u Mungu wa Yesu ni mingi (pia Ufunuo wa Yohana 1:17; 2:8; 22:13; Wakorintho wa kwanza 10:4; Petro wa kwanza 2:6-8; Zaburi 18:2; 95:1; Petro wa kwanza 5:4; Waebrania 13:20), kila mojawapo ya aya hizi inatosha kukujulisha ya kwamba wanafunzi wa Yesu walimwamini kuwa Yesu alikuwa Mungu."
Eyi je ohun ayewo ti a ni lati se iyipada.,Haya ndiyo matatizo ambayo ni tuyatatue.
"Bí o tilẹ̀ ṣe wípé àwa lè rí ihà kan lára àbùdá Rẹ̀ kí ó farahàn ní awọn ẹsẹ Ìwé Mímọ́ kan ju àwọn míìrán lọ, Ọlọ́run fúnra Rẹ̀ kìí yípadà.","Ingawa tunaweza kuona sehemu ya hali yake moja ikidhihirishwa katika aya zingine zaidi kuliko zingine, Mungu mwenyewe habadiliki."
"Èmi ó bùkún àwọn tí ńṣúre fún ọ, ẹnití ń fi ọ́ ré, ni èmi ó sì fi ré; nínú rẹ ni a ó sì ti bùkún fún gbogbo ìdílé ayé.""","In jou sal al die volke van die aarde geseën wees""."
"Orin Dafidi 19:14 sọ wípé, ""Jẹ́ kí ọ̀rọ̀ ẹnu mi, àti àṣàrò ọkàn mi, kí ó ṣe ìtẹ́wọ́gbà li ojú rẹ, Olúwa, agbára mi, àti olùdáǹdè mi.""","Zaburi 19:14 yasema, “Maneno ya kinywa changu, Na mawazo ya moyo wangu, Yapate kibali mbele zako, Ee BWANA, Mwamba wangu, na mwokozi wnagu.”"
Ó dára jùlọ láti kẹ́kọ̀ọ́ n'íbi àṣìṣe ẹlòmíìràn.,In afadhali kusoma kutoka kwa makosa ya wengine.
"Bi Dokito Gary Haberlas se so, awon bi ohun mejila lo fi han si awon keferi nipa ajinde re:",Wanafunzi hawangekubali kufa vifo vya mateso kama walivyovikubali kwa ajili ya imani yao.
"Ti a ba wo iwe Esteri, yio si fi han wa nipa eyi.",Atanyosha fimbo yake kwako kuhifadhi uzima wako wa milele lakini haimaanishi kuwa anafurahishwa nawe.
"Àkọ́kọ́, kí á rántí wípé èyí jẹ́ ìdámẹ̀ẹ́wá ti ìdákan nínú ọgọ́rùn-ún oyún síṣẹ́ láyé òde òní.","Kwanza, tukumbuke kwamba katika hali  hii sababu ambayo imemfanya aavye ni thuliuthi kumi ya asili  mia moja ya uavyaji mimba ambao wafanywa ulimwenguni hii leo."
Mo gbàgbọ́ wípé Jésù kú fún ẹ̀ṣẹ̀ mi mo sì gbàgbọ́ nínú Rẹ̀ nìkan láti gbà mí là.,"Ninaamini kuwa Yesu alikufa kwa ajili ya dhambi zangu, na ninaamini kwake pekee aniokoe."
"Bí ìkún omi náà kò bá jẹ́ ti àgbáyé, a kò ní nílò ọkọ̀.","Kama gharika haikuwa ya ulimwengu mzima, hakungekuwa na haja ya safina."
Kínni wọn gbàgbọ́?,Waliamini nini?
"Filipi 4:6-7 sọ wípé, ""Ẹ máṣe àníyàn ohunkóhun, ṣùgbọ́n nínú ohun gbogbo, nípa àdúrà àti ẹ̀bẹ̀ pẹ̀lú ìdúpẹ́, ẹ máa fi ìbéèrè yín hàn fún Ọlọ́run.","Wafilipi 4:6-7 yasema, “Msijisumbue kwa neno lo lote; bali katika kila neno kwa kusali na kuomba, pamoja na kushukuru, haja zenu na zijulikane na Mungu."
,Nípa ìnà rẹ̀ ni ẹ fi ní ìmúláradá  (1 Peteru 2:24).
"Ohun yóò wù tí àlàyé náà lè jẹ́, abala tí ó ṣe pàtàkì ni wípé ẹ̀yà kan náà ni gbogbo wa, Ọlọ́run kańnáà ló dá gbogbo wa, ìdí kan náà ni a sì fi dá gbogbo wa— láti fi ògo fún-Òun.","Elezo lolote lile litakapokuwa, cha muimu  katika swali hili ni kwamba wote ni watu wa kizazi kimoja, wote tumeumbwa na Mungu mmoja, wote tumeumbwa kwa lengo moja-kumtukuza Mungu."
Bàbá nípa ara kò gbọ́dọ̀ gbé ara rẹ̀ kalẹ̀ bíi olórí aláṣẹ tí ó ńpinnu òtítọ́ àti ojúṣe.,Baba wa damu hastahili kujidhhirisha kama mwenye mamlaka yote anayebaini ukweli na jukumu.
Ohun kan tí ó ṣe pàtàkì jù tí a lè kọ́ lára àwọn ańgẹ́lì ni ìgbọràn lọ́gan láì bá Ọlọ́run wíjọ́ sí àwọn àṣẹ Rẹ̀.,Mungu aliwaumba vile alivyowaumba wanadamu.
"Àkọ́kọ́, ọmọ Ọlọ́run mọ̀ rí wípé Jésù ni Ọmọ Ọlọ́run ayérayé ẹnití ó di ènìyàn.","Kwanza, lazima tutambue kwamba Yesu ni mwana wa Mungu milele ambaye alikuwa mwanadamu."
"A ni lati sora fun (Efesu 5;18, 1 Korinti 6;120.",Maandiko hayakatazi  mkristo kunywa kileo cha aina yoyote bali yanakataza  ulevi na utumwa wa kileo (waefeso 5:18; wakorintho wa kwanza 6:12).
Oríṣíríṣi àbá nípa ẹni tí àwọn ọmọ Ọlọ́run jẹ́ àti ìdí tí àwọn ọmọ tí wọ́n bí nípasẹ̀ ọmọbìnrin ènìyàn ṣe dàgbà láti jẹ́ ìran àwọn òmìrán (èyí tí ó dàbí pé Nẹ́fílímù tọ́ka sí).,Kumekuwa na mapendekezo mengi kuwa ni nani hawa wana wa Mungu na ni kwa nini watoto waliozaa na binti za wanadamu walikua na kuwa kizazi cha majitu (hili ndilo neno Nephilim laoneka kuashiria)
Ohun míìrán láti fiyèsí ni bóyá ẹni náà tí a fẹ́ràn jẹ́ olùkópa fún jí jẹ́ olùbákẹ́gbẹ́pọ̀ tàbí bẹ́ẹ̀kọ́.,Kitu kingine cha kuangalia ni kama anayependwa ni mtu amefusu kuwa mwenzi.
"Ó ṣe pàtàkì láti l'òye wípé a ka ẹ̀ṣẹ̀ sí I l'ọ́rùn, ṣùgbọ́n Òun kò jogún rẹ̀ láti ọ̀dọ Adamu.","Ni muimu kuelewa dhambi ilipachikwa kwake, lakini hakuirithi kutoka kwa Adamu."
"Bí Ó tilẹ̀ pa mí, síbẹ̀ èmi ó máa gbẹ́kẹ̀le E (Jobu 13:15).","“Tazama, ataniua; sina tumaini; Ila hata hivyo nitaithibitisha njia yangu mbele yake” (Ayubu 13:15)."
"“Ki olukuluku eniaki o se gege bi o ti pinnu li okan re; ki ise afekunse, tabi ti alaigbodo ma se; nitori Olorun fe oninudidun olore” (1 Korinti 9:7).","“ kila mtu niatoe kile alicho azimia kutoa kutoka ndani ya moyo wake, si kwa  manung’uniko wala kulazimishwa, kwa kuwa Mungu hupenda kwenye kutoa kwa moyo mkunjufu” (wakorintho wa pili 9:7)."
A gbagbo wipe eranko yi wa won si ti ku tipe leyin omiyale ati wipe awon eniyan pa won naa.,Tunaamini dinosauri walikufa wakati wa gharika  katika siku za Nuhu na pia kwa vile walikuwa wakiwindwa sana na wanadamu.
Jakobu ati Paulu fi ye wa nipa igbala ninu Jesu.,Paulo na yakobo hawatofautiani katika mafundisho yao juu ya wokovu.
"Ọ̀rọ̀ Ọlọ́run kò le ṣákìí, tẹríba, tàbí nílò àfikún láíláí.",Ujumbe wa maana katika Bibilia wa- ukombozi ni wa ulimwengu wote na wawafaa wanadamu wote.
"Ilé-ìṣọ́ Bíbélì àtì Ẹgbẹ́ Tí ó ńṣe ìwé pélébé ni a dá sílẹ̀ ní 1886 ti ó sì yára di ọkọ̀ nípasẹ̀ èyí ""Ìbẹ̀ẹ̀rẹ̀ Ẹgbẹ̀rún ọdún,"" ẹgbẹ́ bẹ̀rẹ̀ sí ní pín àwọn ojú ìwòye wọn.",Mnara wa ulinzi wa Bibilia na kijitabu cha jamii vilianzishwa katika mwaka wa 1886 na haraka vikawa gari ambayo kupitia kwayo kikundi cha “uchao wa millennia” likaanza kusambaza mawazo yao kwa wengine.
"Ṣùgbọ́n, àwọn àdúrà tí ó bá bíbélì mu, ti lẹ̀, jẹ́ olójú-púpọ̀, tí ó dá dúro ní wíwọ́ inú ìmọ̀lára àti ìbáṣepọ̀ tímọ́tímọ́ pẹ̀lú Ọlọ́run mímọ́, pípé àti olódodo.","Maombi ya kibibilia, huwa na sura tofauti, yakijumlisha haja zote na kuingia katika ufahamu na uhusiano wa ndani na Mtakatifu wetu, mkamilifu na Mungu mwenye haki."
"Pẹ̀lú ìwòye ọjọ́ ìsinmi méjéèjì, ti a bá kan Krístì mọ́ àgbélèbú ni Ọjọ́'bọ̀, ọjọ́ ìsinmi ńlá (Ìrékọjá) ò bá ti bẹ̀rẹ̀ ní ìrọ̀lẹ́ Ọjọ́'bọ̀ tí yóò sì parí ní ìrọ̀lẹ́ Ọjọ́ Ẹtì-ní ìbẹ̀ẹ̀rẹ̀ ọjọ́ ìsinmi ọ̀sọ̀ọ̀sẹ̀ tàbí Ọjọ́ Àbámẹ́ta.","Hatujui kamili wakati alifufuka, lakini tunajua ni kabla ya jua kuchomoka siku ya Jumapili (Yohana 20:1, Mariamu Magdalene akaja “alfajiri, kungali giza bado” kwa hivyo alifufuka mapema baada ya jua kutua baada ya Jumamosi jioni, ambayo ilianza siku ya kwanza ya juma kulingana na wayahudi."
Idahun,Jibu
English,English
Gbigba adura elese je gege bi ona ti a n gba lati so wipe o fi gbogbo igbesi aye re le Jesu Kristi lowo gege bi olugbala.,Kusema Ombi hili la mwenye dhambi ni njia ya rahisi ya kumwelezea Mungu yakuwa unamtegemea Yesu Kristo kama mwokozi wako.
"Bibeli si so fun wa wipe enia ni Emi Mimo, Emia to ni opolo, okan ati ona re.","Pia biblia inasema kuwa Roho mtakatifu ni mtu, mwenye akili, hisia na mapenzi yake."
"Jésù fi òpin sí èyí, nípa wíwó ògiri ìkélé tí ńbẹ láàrin palẹ̀ (Efesu 2:14).","Yesu Kristo anaweka kikomo kwa mambo haya, akauaribu ule ukuta wa uadui (Waefeso 2:14)."
