Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"Pọ́ọ̀lù fi gbólóhùn kan kún-un èyìí tí kò sí nínú àwọn Ìwé Ìhìnrere: ""Nítorínà ẹnikẹ́ni tí ó bá jẹ àkàrà, tí ó sì mu ago Olúwa láìyẹ̀, yóò jẹ̀bi ara àti ẹ̀jẹ̀ Olúwa.","Paulo anatumia maneno yale yale yametumika katika injili: “Basi kila aulaye mkate huo, au kukinywea kikombe hicho cha Bwana isivyostahili, atakuwa amejipatia hatia ya mwili na damu ya Bwana."
"Sugbon, itumo ile ni a le ri ti a ba ti n bere si ni tele Kristi gege bi omo leyin re, mo nipa re, nipa oro re, Bibeli, ma gba adura, rin pelu re gege bi ofin re.",“Mtu akitaka kunifuata sharti ajikane mwenyewe na abebe msalaba wake anifuate.
"Jesu yi naa so wipe, “E wa sodo mi gbogbo eyin ti nsise ti asi di eru wiwo le lori, emi o si fi isimi fun nyin.","Na Yesu huyu asema hivi, “Njoni kwangu,ninyi nyote msumbukao na wenye kulemewa na mizigo, nami nitawapumzisha’’ (Mathayo 11:28, TMP)."
"Nítorí ẹ̀ṣẹ̀ wa, gbogbo wa la l'ẹ́tọ̀ọ́ sí ìdájọ́ l'ọ́dọ̀ Ọlọ́run (Johanu 3:18, 36).","Kwa sababu ya dhambi zetu, wote tunastahili hukumu kutoka kwa Mungu (Yohana 3:18,36)."
Nje mo ni agbara lati se ohun gidi?,"Je, nitafanikiwa kuwa na uwezo wa kutimiza jambo la kudumu?"
"Eni ti o ko iwe iwasu wipe, “ofo!",Kwa sababu Mungu alituumba kwa ajili ya kituzaidi ya kuona na kuhisi hapa na pale.
"Ó jọ òtítọ́ wípé àwọn ańgẹ́lì lè gbé àgọ́ ara ènìyàn wọ̀, débi wípé wọ́n le bí irú ènìyàn tàbí irú ara wọn.","Inawezekana malaika wanaweza kujukua mwili, kiwango wanaweza kufanya mapenzi na mwanadamu na kuzaa."
"Wíwà ní àrọ́wọ́tó¬ — òwúrọ̀, ọ̀sán, àti alẹ́ (Deutarọnọmi 6:6-7)","Kuwa karibu- Asubuhi, mchana na hata usiku (Kumbukumbu La Torari 6:6-7)"
Eyi je bi Olorun se se iro ijo re.,Ni kwa sababu Mungu mwenyewe alitaka kanisa liwe hivyo.
Jesu ko si jiyan re.,"Lakini ukitazama majibizano ya wayahudi dhidi ya maneno yake, “Hatukupigi mawe kwa sababu nyinginezo ila kwa hili, kukufuru."
Ajinde Jesu fi han wipe Oluwa gba Iku Jesu gege bi sisan gbese ese wa.,Ufufuo wa Yesu unadhihirisha yakwamba Mungu alikubali kifo chake Yesu kama malipo ya dhambi zetu.
"Ó túmọ̀ sí pípàdé ti èrò ọkan àti ọkàn láti di igun kan. Ìbáṣepọ̀ yìí kọja jìnà réré tayọ ti ìbálọ́pọ̀ àti ìmọ̀lára, àti wíwọ inú ""ìṣọ̀kan"" tí ẹ̀mí tí ó lè di rírí nìkan gẹ́gẹ́ bí alábàṣepọ̀ méjèèjì bá ṣe jọ̀wọ́ ara wọn sílẹ̀ fún Ọlọ́run àti fún ara wọn.",Uhusiano huu wapita mbele ya hisia za mwili na ufuto wa mhemuko na kwa ulimwengu wa kiroho “umoja” ambao utapatikana kwa wanandoa wote wanapojitoa kwa Mungu na kwao wenyewe.
Ohun gbogbo ni ó yẹ fún mi—ṣùgbọ́n kìí ṣe ohun gbogbo ni ó ní èrè.,"“Vitu vyote ni halali kwangu, lakini si vyote vifaavyo; vitu vyote ni halali kwangu, lakini mimi sitatiwa chini ya uwezo wa kitu cho chote” (1 Wakorintho 6:12)."
"Mo dúpẹ́ lọ́wọ́ Ọlọ́run nípasẹ̀ Jésù Kríístì Olúwa wa!""","Namshukuru Mungu, kwa Yesu Kristo Bwana wetu."
Àwọn ìbéèrè wọ̀nyìí ni a kò lè dáhùn dáradára ní ihà ayérayé yìí.,Maswali haya hayawezi kujibiwa sehemu hii ya mbinguni.
"Rántí, nínú àdúrà, Ọlọ́run ni inú dídùn sí bíbá Òun sọ̀rọ̀ àti kí a sọ̀rọ̀ láti ọkàn wa ju nínú àwọn ọ̀rọ̀ tí a lò ní pàtó.","Kumbuka, katika maombi Mungu ako na aja na sisi tunapowasiliana na Yeye tunapoongea kutoka ndani ya moyo wetu, anaangalia meneno tunayotumia."
Kò sí ètò láti rí Ọlọ́run (Òun ti kàn sí wa —Romu 5:8).,Hakuna mpango wa kumfikia Mungu (Yeye ametufikia Warumi 5:8).
Ayé tí kò ní òtítọ́ pátápátá yóo jẹ́ ayé tí a lè rò wípé ó burú jùlọ.,Dunia bila uhalisi itakua dunia hofu sana mtu anaweza fikiria.
Oluwa ko fe omutipara ati iwa re (Owe 23;29-35).,Biblia  inakataza ulevi na athari zake (methali 23:29-35).
"Àwa ní láti ni lọ́kàn wípé Bíbélì ti pé, àti wípé ó sọ ohun gbogbo tí a ní láti mọ̀ fún wa.","Lazime tuweke katika akili kuwa Bibilia imekamilika, na inatuambia kila kitu tunastahili kujua."
"Ile aye yi fi ohun ewa re han, eyi ni ofi je wipe awon eniyan jiyan re.",Ulimwengu unadhihirisha kazi za ustadi zinazothibitisha kuweko kwa mwenye kuviumba kwa ustadi.
Àjíǹde Jésù ṣ'àfihàn wípé ikú rẹ̀ jẹ́ ìtẹ́wọ́gbà lọ́dọ̀ Ọlọ́run fún àwòtán ẹ̀sẹ̀ wa.,Ufufuo wa Yesu wathibitisha kwamba kifo chake kilikubaliwa na Mungu kama tabihu ya dhambi.
"È éṣe tí ẹ̀nyin kò kúkú jẹ́ kí á rẹ́ nyin jẹ?""",Maana si afahdali kudhulumiwa?
Ìjọ ní láti kọ́ ẹ̀kọ́ Bíbélì kí á le gbilẹ̀ nínú ìgbàgbọ́ wa.,Kanisa yafaa kufundisha funzo la kibibilia ili tuweze kukua katika misingi ya imani yetu.
"Jesu wipe, loto loto ni mo wi fun o, bikose a fi omi ati emi bi enia, o n ko le wo ijoba Olorun.","Aweza kuingia tumboni mwa mamaye mara ya pili akazaliwa?” Yesu akajibu, “Amin, Amin, nakuambia: Mtu asipozaliwa kwa maji na kwa Roho, hawezi kuingia ufalme wa Mungu."
"Wọ́n tún fẹ́ ríi pé àwọn dúró lé àwọn onígbàgbọ́ lọ́rùn láti yípadà kí wọ́n síì gba ẹ̀sìn ""Àfikún ìgbàgbọ́"" wọ̀nyìí.",Pia walitafuta kuwalazimisha wakristo kuasi imani yao na kukubali kuwa “Ukristo pamoja na” dini.
"Ní ọ̀run, kò ní sí ìrora àìsàn, àrùn, ìjìyà tàbí ikú mọ́ (Ifihan 21).","Mbinguni, hakutakuwa na maumivu, magonjwa, mateso au kifo (Ufunuo 21)."
"Johannu 1;1 wipe, “Olorun si ni oro naa.” Johannu 1;4 wipe, “oro naa si di enia.” Eyi fi han wipe Jesu ni Olorun eleran ara.",Yohana 1:14 inasema “Neno akafanyika mwili.” Hii inaonyesha wazi ya kwamba Yesu ni Mungu katika mwili.
"Àti wípé, kíló dé tí Ó fi sọ fún Nóà wípé kó kan ọkọ̀ tí ó tóbi tó láti gba gbogbo onírúurú ẹranko ilẹ̀ tó ńrìn lórí ilẹ̀?",Na ni kwa nini alimwamuru Nuhu kujenga safina kubwa inayotosha aina yote ya wanyama wa nchi wanaopatikana katika nchi?
"Kí ìwé Galatia 3:28 wá sí ìmúṣẹ pátápátá, ""kò lè sí Júù tàbí Héllénè, ẹrú tàbí òmìnira, ọkùnrin tàbí obìnrin, nítorípé ọ̀kan ni gbogbo yín jẹ́ nínú Kristi Jésù.""",Maana  ninyi nyote mmekuwa mmoja katika Kristo Yesu.”
A kò gbọ́dọ̀ mú àwọn ìlérí bẹ́ẹ̀ lò fún ìjọ.,Hierdie beloftes aan Israel moet nie aan die kerk toe gedeel word nie.
"Tàbí èmi lè rò wípé ó tọ́ fún mi láti jí nǹkan lọ́dọ̀ rẹ, kí o sì rò wípé kò tọ́.","Au ninaweza kufikiri kuwa ni vizuri kuiba kutoka kwako, na unaweza kufikiri kuwa si vizuri."
"Ikini, Oluwa ni kan ni ole fun wa gege bi o ti wa ninu iwe Maejemu Lailai.",(1) Roho Mtakatifu – kipawa kimojachapo ambacho Mungu ametupa (kanisa lake) kwa ajili ya kuwa na ushindi katika maisha ya kikristo ndani ya Roho Mtakatifu.
"Mo ni ireti ninu Jesu, Jesu ni kan gege bi Olorun ni nikan ati olugbala mi.",Ombi hili ni njia ya kumwelezea Mungu imani yako kwake na kwa kumshukuru kwa kukupea wokovu.
"Àbùdá àtijọ, ẹ̀ṣẹ̀ yóò bẹ̀rẹ̀ sí ní fi ààyè sílẹ̀ fún àbùdá ti dídà bíi Kristi, titun (Romu 6-7).",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Ọ́nánì kò fẹ́ pín ogún rẹ̀ pẹ̀lú ọmọ kankan tí yóo bí sí ipò arákùnrin rẹ̀, nítorí nà, ó ṣe ìfètò sọ́mọ bíbí tí ó pẹ́ jù, tíí ṣe fífàáyọ.","Mwanzo 38:10 yasema, “Neno hili alilolifanya likawa baya machoni pa BWANA, basi akamwua yeye naye.” Onani nia yake ilikuwa ya kibinafsi/uchoyo: alimtumia Tamari kwa manufaa yake mwenyewe, lakini akakataa kutekeleza jukumu lake kisheria la kumzaa mrithi wa marehemu nduguye."
Òun sọ ìtàn obìrin opó kan tí ó tọ onídàájọ aláìsododo tí ó ńwá ìdájọ́ òdodo lọ́wọ́ àwọn ọ̀tá rẹ̀.,Anaambiana hadhiti ya mjane ambeye alikuja kwa hakimu asiye na haki kuitisha haki kwa masaibu yaliyomkumba.
"Síwájú síi, Marku 8:31 sọ wípé Jésù yóò jíǹde ""lẹ́yìn"" ọjọ́ mẹ́ta.","Zaidi ya hayo, Mariko Mtakatifu 8:31 yasema kwamba Yesu atafufuliwa “baada” ya siku tatu."
"Heberu 4:12 so fun wa, E kiyesara, ara, ki okan buburu ti aigbagbo ki o mase wa ninu enikeni nyin, ni lilo kuro lodo Olorun alaye.",Kama waebrania 4:12 inavyosema Neno la Mungu liko hai na lina nguvu ya kupenya ndani ya nafsi zetu kung’oa lile tatizo ambalo mwanadamu hangeweza kulitatua.
"Bí a bá kan Jésù mọ́ àgbélèbú ní Ọjọ́'bọ̀, àpẹẹrẹ yìí fihàn bí a ṣe le kàásí ọjọ́ mẹ́ta.","kama Yesu alisulubiwa siku ya Alhamisi, mfano huu waonyesha vile inaweza chukuliwa siku tatu"
"Nípàsẹ̀ ẹ̀sìn, ènìyàn máa ńwá Ọlọ́run, ìrètí fún ọjọ́ ọ̀la, ìdáríjì fún ẹ̀ṣẹ̀, àlàáfíà láàrin làálàá, àti ìdáhùn sí àwọn ìbéèrè tí ó jìn.","Kupitia kwa dini, wanadamau wanamtafuta Mungu, tumaini la kesho, msamaha wa dhambi, amani katikati mwa majanga, na majibu kwa maswali yetu magumu."
"Eyi je gege bi ise ayeyori, ola, ebi gidi, ibasepo, ohun irorun ki a si ma se daradara si enikeni, etc.","Kila kitu ni ubatili,” mwandishi huyu alikuwa na mali nyingi, hekima kupita wote walioishi naye wakati wake na wetu pia, mamia ya wanawake, ikulu kadhaa na mashamba na alikuwa muonewa wivu wa falme zote, chakula chema na divai pamoja na kila aina ya kitu cha kutumbuiza."
"Ẹ̀kejì, a gbọ́dọ̀ mọ̀ wípé Ọlọ́run ti fún ìjọba ní àṣẹ láti sọ ìgbà tí ìjìyà ikú bá yẹ ((Jẹnẹsisi 9:6; Romu 13:1-7).",Pili lazima tutambue kwamba Mungu ameipa serikali mamlaka ya kuamua wakati hukumu ya kifo inastahili (Mwanzo 9:6; Warumi 13:1-7).
"Òwúrọ̀ Ọjọ́'bọ̀ ni ìgbà míìrán tí o ríi ìwọ́ sì wípé, ""Èmi kò tíì rí ọ fún ọjọ́ mẹ́ta"" bí ó tilẹ̀ jẹ́ wípé ó jẹ́ wákàtí ọgọ́ta 60 (ọjọ́ méjì àbọ̀).","Wakati mwingine utakapomwona ni Alhamisi asubuhi na useme, “Sijakuona yapata siku tatu sasa” hata kama ingekuwa ni saa 60 zilikuwa zimepita (siku 2.5)."
"Nítorí àìṣe-àárẹ̀ rẹ̀ nínú àdúrà, onídàájọ náà ronúpìwàdà.","Kwa sababu ya kule kushinda kudumu katika maombi, hakimu akampatia haki yake."
Àwọn ọjọ́ tí ó ṣẹ́kù ní Daniẹli 12 lè jẹ́ àkókò òpin tí ó wà fún ìdájọ́ àwọn orílẹ̀-èdè (Matteu 25:31-46) àti àkókò ìgbékalẹ̀ ìjọba ẹgbẹ̀rún ọdún Kristi (Ifihan 20:4-6).,Siku zaidi katika Danieli 12 zaweza jumulisha wakati na mwisho wa hukumu ya mataifa (Mathayo 25:31-46) na wakati wa miaka elfu moja ya ufalme wa Kristo utakapo wekwa msingi (Ufunuo Wa Yohana 20:4-6).
"Bi a se so tele, itumo ona yi ni a le ri pelu ibasepo wa pelu Oluwa ti a ti segbe tele pelu Adamu ati Efa nipati ese won.","Maana ya maisha, kama ilivyotajwa hapo awali, ya sasa na hata baadaye yapatikana katika kurejezwa kwa ushirika baina ya mwanadamu na Mungu uliopotezwa wakati wa Adamu na hawa walipoanguka dhambini."
"Ní pàṣíìpààrọ̀, Ọlọ́run fi òdodo Jesu kún inú àwọn onígbàgbọ́ ó sì fi òdodo Rẹ̀ kún wa, gẹ́gẹ́ bí Òun ṣe ka ẹ̀ṣẹ̀ wa sí I l'ọ́rùn (2 Kọrinti 5:21).","Kwa ubadilisho, Mungu aliupachika utakatatifu wa Kristo kwa Wakristo na akasadikisha makosa yetu kwa utukufu wake, jinsi alivyokwisha  sakidikisha makosa yetu juu ya Kristo (2 Wakorintho 5:21)."
Àwọn àrídájú tí ó pọ̀ wà tí ó tayọ ti inú Bíbélì tí ó tọ́ka sí àjálù àgbáyé bíí ìkún omi àgbáyé.,Kunayo dhibitisho nyingi za Kibibilia ambazo zinalenga pigo kubwa la kiulimwengu kama vile gharika ya ulimwengu mzima.
"Awon onigbagbo ode oni ti won nipe won huwa lati ma so ede, won kotele bi Bibeli ti ni ka se.",Rudi kwa ukurasa wa nyumbani wa Kiswahili
Nígbàmíìràn Ọlọ́run ńfi ipa mú wa dúró fún ìdáhùn sí àwọn àdúrà wa láti kọ́ wa ní sùúrù àti ìpamọ́ra.,Wakati mwingine Mungu hutulazimisha kungoja jibu kwa mombi yetu ili atufunze uvumilivu na kustahimili.
Gbogbo ọlọrun míìrán jẹ àwọn ọlọrun èké.,Kuunda sanamu imwakilishe Mungu ni kuabudu miungu ya uongo.
"A ti darí gbogbo ẹ̀ṣẹ̀ wa jì, a kò sì ní dá wa l'ẹ́bi mọ́ fún wọn (Romu 8:1).",Dhambi zetu zote zimesamehewa na hatutahukumiwa kwa sababu yao (Warumi 8:1).
"Awon ori iwe miran si soro nipa igbagbo gidi gan, bi Johannu 20;27; Se awon aposteli 16;31, Galatia 2;16,26, ati efesu 2;8.","Vipengele vingi kwenye Biblia vinazungumzia umuhimu wa imani, kama vile Yohana 20:27; Matendo 16:31; Wagalatia 2:16; 3:11, 26; na Waefeso 2:8."
"Bíbélì fihàn kedere wípé gbogbo wa lati ṣẹ̀ (Oniwaasu 7:20; Romu 3:10-23), Ní báyi, gẹ́gẹ́ bẹ́ẹ̀, gbogbo wa l'ẹ́tọ̀ọ́ láti lọ si ọ̀run-àpáàdì.","Die Bybel maak dit duidelik dat ons almal gesondig het (Prediker 7:20; Romeine 3:10-23), en as gevolg daarvan verdien ons almal om hel toe te gaan."
Kínni Bíbélì sọ?,Bibilia inasema nini?
"Baba n se gbogbo ise yi nipa Omo re, ti o je oluranlowo.",Baba alifanya mambo haya yote kupitia Mwana anayetenda kazi kama mwakilishi wake.
"A sọ fún Ìyá Kristiẹni wípé kí ó fẹ́ràn àwọn ọmọ rẹ̀ (Titu 2:4-5), ní ọ̀nà tí kò ní mú ẹ̀gàn bá Olúwa àti Olùgbàlà tí ó ńjẹ́ orúkọ rẹ̀.","Mama Mkristo ameambiwa kuwa awapende watoto wake (Tito 2: 4-5), katika sehemu ili asilete shutuma kwa Mungu na Mwokozi ambaye kwa jina lake abeba jukumu."
"Láti ìgbànáà, ẹ̀ṣẹ̀ ti sàn wálẹ̀ sí gbogbo ìran ọmọ ènìyàn àti wípé àwa, ìran Adamu, ti j'ogún ẹ̀ṣẹ̀ láti ọ̀dọ̀ rẹ̀.","Tangu wakati huo, dhambi imekuwa ikipitishwa kwa vizazi vyote vya mwanadamu, na sisi kama uzao wa Adamu tumerithi dhambi kutoka kwake."
Òye nípa ìwé Daniẹli 9:24-27 ni a nílò láti ní òye ète àti àkókò ìpọ́njú náà.,Eleo lingine la Danieli 9:24-27 ni la maana ili tuelewe lengo na wakati wa matezo.
Ojú kìí ṣe ètò tí ó wúlò àyààfi bí gbogbo ẹ̀yà rẹ̀ bá wà tí wọ́n sì ńsiṣẹ́ déédé ní àkókò kan náà.,Jicho si mtindo unatumika ikiwa sehemu zake zote hazifanyi kazi  vizuri kwa wakati mmoja.
"We mi li awemo kuro ninu aisedede mi, ki o si we mi un kuro ninu ese mi” (Orin Dafidi 51:2).","“ Kwa hivyo, mtu akiwa ndani ya kristo, amekuwa kiumbe kipya; ya kale yamepita tazama yamekuwa mapya” (Wakorintho wa pili 5:17)."
"Ti n ba ri oro ti o ru mi ni oju, ma wa eni ti o le ran mi lowo lati so itumo re.",Ningepokea ujumbe kupitia mtandao Fulani ambao hausomeki ningemtafuta mwenye utaalamu wa kusambaza habari kupitia mitandao ilianifahamishe kuhusiana na jinsi ningeweza kuutafsiri na kuusoma.
Ọlọ́run jẹ́ Ẹni tí kò ní orísun tí ó sì jẹ́ kí ohun gbogbo ó wà láàyè.,Mungu ni kitu kisicho tengenezwa ambacho kilifanya vyote viwepo.
"Ìwé Romu 8:9 àti Efesu 1:13-14 sọ wípé Òun ńgbé pẹ̀lú gbogbo onígbàgbọ́, ṣùgbọ́n a lè múu bínú (Efesu 4:30), tí a si lè paná iṣẹ́ Rẹ̀ nínú wa (1Tẹssalonika 5:19).","Warumi 8:9 na Waefeso 1:13-14 za sema kwamba anakaa kwa kila Mkristo, lakini anaweza kuhusunishwa (4:30), na kazi yake ndani yetu unaweza poa (1Wathesalonike 5:19)."
A kò lè gba Ìgbàlà nípa ìgbàgbọ́ kí áwá fi iṣẹ́ gbéeró.,Wokovu haupatikani kwa imani kisha baadaye udumishwe kwa matendo.
"Leyin igba die, gbolohun naa”Kristiani” ko fi le je ikan gidi nitori pe a ma n lo fun elesin tabi eni ti o ni iye nipa nkan biko se atubi ninu Oluwa ati omo leyin Jesu Kristi.","Kwa bahati mbaya, neno mkristo limepoteza kwa kiwango kikubwa usawa wa matumizi yake na Linatumika mara kwa mara kumaanisha tu mtu mwenye dini au pengine muadilifu kinyume cha Mfuasi halisi wa yesu kristo aliyezaliwa mara ya pili."
Ọ̀pọ̀lọpọ̀ nǹkan ni ó n bẹ nínú ayé yìí tí kò yé wa.,Daar is baie dinge in hierdie wêreld wat ons nie verstaan nie.
"Kristi yóò gbé Sátánì sí inú ìgbèkun fún ẹgbẹ̀rún ọdun, òun yóò sì darí ìjọba ayé fún àkókò ẹgbẹ̀rún ọdun (Ifihan 20:1-6).",Kisha Kristo atamfunga Shetani kuzimu miaka 1000 atatawala dunia yake kwa hiki kipindi cha miaka elfu moja (Ufunuo Wa Yohana 20:1-6).
"O ni lati mo wipe Oluwa ni ife wa, o si ti pese ibi ti awa yi o ti gbe igbesi aye wa titi lai lai.",Unachohitaji kujua ni kwamba Mungu anatupenda na ameshaweka njia inayotuwezesha kujua kwa uhakika mahali tutakapoishi milele.
"Ṣùgbọ́n, yàtọ̀ sí ìtumọ̀ tó ṣe kókó yìí, Bíbélì sọ nípa ọkàn nínú ọ̀pọ̀lọpọ̀ àyọkà.","Katika maana yake ya kawaida, neno “nafsi” lamaanisha “uhai.” Ingawa zaidi ya hii maana kuu, Bibilia yazungumzia nafsi katika mkudhata mbalimbali."
Oluwa dara gan ni.,Mungu ni wakutisha.
"Ní ìmúrasílẹ̀ fún ìgbà náà, a gbọ́dọ̀ mọ òtítọ́—kìí ṣe gbogbo ènìyàn ni o ńlọ sí ọ̀run.","Ter voorbereiding vir daardie oomblik, moet ons hierdie waarheid besef—nie almal gaan hemel toe nie."
"Láì sí ẹyin ojú, tánrán ojú, àti kọ̀tẹ́sìì ojú, ìyípadà láì ní ètò sí ojú tí kò pé yóò ṣe lòdì sí àti ṣiṣẹ́ sí yíyè irú ẹ̀dá báyìí, tí a ó sì yọ kúrò nípa ìlànà yìyàn nípa ìṣẹ̀dá.","Bila mbooni mizipa ya  macho  na sehemu ya picha zikihamishwa kwa ghafula, jicho lizilo kamilika litakuwa halitumiki vilivyo kwa mudhumini ya kuishi kwa kiungo na kwa hivyo litangólewa kupitia kwa mfumo wa kuchaguliwa kawaida."
He who loves his wife loves himself.,Nítorí kò sí ẹnìkan tí ó ti kórìíra ara rẹ̀.
Idariji – Bawo ni mo se le rii Gba?,"Msamaha - Je, mimi naupataje?"
"Ní ìdáhùn sí àtakò pé ore-ọ̀fẹ́ fi àyè gba ẹ̀ṣẹ̀, Àpọ́stélì Pọ́ọ̀lù sọ wípé, ""Ǹjẹ́ àwa o ha ti wi?","Kwa kuyajibu mashtaka kwamba neema yaongeza dhambi, Mtume Paulo anasema, “Tuseme nini basi?Tudumu katika dhambi ili neema izidi kuwa nyingi?"
"Bibeli wipe: “Nkan wonyi ni mo ko iwe re sin yin ani si enyin ti o gba Oruko omo Olorun gbo, ki enyin ki o le mo pee yin ni iye ainipekun” (1 Johannu 5; 13).","Bibilia yasema: “Nimewaandikia ninyi mambo hayo, ili mjue yakuwa mna uzima wa milele, ninyi mnaoliamini jina la mwana wa Mungu” (1 Yohana 5:13, TMP)."
"ko da bi awon oro woli ti o wa ninu iwe esin miran tabi eyi ti Nostradamusi so, oro awon woli ti Bibeli ko ye.","kinyume cha unabii unaopatikana katika vitabu vyengine ama ule uliofanywa na Nostradamus, unabii wa kibiblia unatimia."
"Àgbéyẹ̀wò míìrán ni wípé, ni àwọn ìran àkọ́kọ́ lẹ́yìn ìṣẹ̀dá, wípé kóòdù jẹ̀nẹ́tiki ìran ènìyàn ti ní àwọn àbùdá àṣìṣe kan. A dá Àdàmù àti Éfà ní pípé.","Hali nyingine ni kuwa vizazi vichache baada ya uumbaji, chembe chembe za damu ya mwanadamu ikawa na madhara."
Paulu soro nipa awon ti ohun gba adura fun awon ti ohun wasu fun.,Paulo mara kwa mara arudia kueleza vile alikuwa akiwaombea wale aliokuwa akiwahudumia.
"Nígbàtí ó bá ńyà wà lẹ́nu ìdí tí Ọlọ́run fi gba àwọn nǹkan burúkú láàyè láti ṣẹlẹ̀ sí ẹni rere, yóò tún dára láti gbé àwọn nǹkan mẹ́rin wọ̀nyìí yẹ̀wò nípa àwọn nǹkan burúkú tí ó ṣẹlẹ̀:",Ni kwa nini maovu yanawapata watu wema?
"Paulu pe Jesu “Oba nla Olugbala” ( Titus 2:13), gege bi o ti wa si aye, o si “da bi Olorun” (Filemoni 2:5-8).","Paulo anamwita Yesu, “ Mungu Mkuu na Mwokozi” (Tito 2:13), na anaelezea ya kuwa Yesu, “alikuwa katika hali ya Mungu” (Wafilipi 2:5-8)."
Májẹ̀mú Titun ní ọ̀pọ̀lọpọ̀ ìtọ́kàsi Jésù Kristi nínú.,Agano Jipya liko na ma mia ya marejeo  ya Yesu Kristo.
"Charles T. Russell bẹ̀rẹ̀ sí ní kọ àwọn onírúurú àwọn ìwé tí ó pè ní ""Ìbẹ̀ẹ̀rẹ̀ ti Ẹgbẹ̀rún ọdún,"" èyí tí o gùn dé àwọn abala mẹ́fà ṣáájú ìkú rẹ̀ tí ó sì kún fún púpọ́ àwọn ẹ̀kọ́ ti Ajẹ́rìí Jèhófà ńdìmú.","Kikundi kilijulikana kama “Warussell” hadi mwaka wa 1931 wakati, kwa sababu ya kugagwanyika wa utaratibu, likatiwa “Mashahidi wa Yehova.” Kikundi ambacho walitoka kikaitwa “wanafunzi wa Bibilia.”"
Kò sí kókó ohun tí ó burú nípa igi tàbí èso igi náà.,Hapo mwanzo hakukuwa na kitu chochote kiovu kuhusu mti au matunda ya mti.
"Kódà nínú àwọn àkọsílẹ̀ bíbélì wípé Ọlọ́run ńsọ̀rọ̀, kò hàn kedere nígbàgbogbo bóyá ohùn kedere ni, ohùn inú, tàbí èrò ọpọlọ.","Hata kwa matukio ya kibibilia ambayo yamenakiliwa Mungu akinena, haiko wazi kuwa kama alinena nao kwa sauti inayosikika au sauti ya ndani ama kupitia kwa picha ya kimawazo."
"Efesu 4:30 wipe, “eniti a fi se edidi nyin de ojo idande.” Ti onigbagbo o ba ni igbala ayeraye, edidi naa ki yio je idande ayeraye, sugbon titi de ona elese tabi aigbagbo.",Waefeso 4:30 inatuambia waumini “wamehifadhiwa kwa ajili ya siku ya ukombozi.” Kama waumini hawangekuwa na uasalama wa milele kuhifadhiwa kwao kungekuwa si kwa kudumu na kungeisha tu siku ile ya kufanya dhambi ama kutoamini.
"Bíbélì tún sọ wípé, ""Kí a má tàn yín jẹ: 'Ẹgbẹ́ búburú ba ìwà rere jẹ́' (1 Kọrinti 15:33).","Bibilia pia yasema, “Msidanganyike; Mazungumuzo mabaya huharibu tabia njema’ (1 Wakorintho 15:33)."
"Síbẹ̀sìbẹ̀, gẹ́gẹ́ bí àwọn ènìyàn ti ó ní ìparí a kò gbọ́dọ̀ retí à ti má a ní òye Ọlọ̀run àìlópin náà.",God is gereed en bereid om Homself op wonderbaarlike maniere te openbaar aan diegene wat in Hom wil glo.
"Filipi 4:6-7 sọ wípé, ""Ẹ máṣe àníyàn ohunkóhun, ṣùgbọ́n nínú ohun gbogbo, nípa àdúrà àti ẹ̀bẹ̀ pẹ̀lú ìdúpẹ́, ẹ máa fi ìbéèrè yín hàn fún Ọlọ́run.","Wafilipi 4:6-7 yasema, “Msijisumbue kwa neno lo lote; bali katika kila neno kwa kusali na kuomba, pamoja na kushukuru, haja zenu na zijulikane na Mungu."
"Beni, orisirisi awon enia ni o ti ku nipa iro ti won pa ti won si ro wipe otito ni sugbon ko si eni ti yio ku fun ohun ti won gbagbo.",Hakuna anayekubali kufa kwa ajili ya jambo analolitambua kuwa la uongo.
"Nítorínà bí ẹ̀yin bá ń jẹ, tábí bí ẹ̀yin bá ń mu, tàbí ohunkóhun tí ẹ̀yín bá ń se, ẹ máa se gbogbo wọn fún ògo Ọlọ́run (1 Kọrinti 10:31).","“Basi, mlapo, au mnywapo, au mtendapo neno lo lote, fanyeni yote kwa utukufu wa Mungu” (1 Wakorintho 10:31)."
Bibeli si tun ko w ape Olorun kan lowa.,Biblia pia inafundisha kuna Mungu mmoja tu.
"Nígbàtí Pọ́ọ̀lù ti yan ọ̀rẹ́ yìí gẹ́gẹ́ bí ""Ìsìn"" nínú Kọrinti kejì 9:12, àkójọpọ̀ yìí gbọdọ̀ ti sopọ̀ mọ́ ètò ìsìn Ọjọ́ Àìku àwọn àpèjọ Kristiẹni.","Kwa mfano Matendo Ya Mitume 20:7 ambayo yasema, “Hata siku ya kwanza ya juma, tulipokutana ili kumega mkate.” Katika 1 Wakorintho 16:2 Paulo anawasihi Wakristo wa Korintho, “Siku ya kwanza ya juma kila mtu kwenu na aweke akiba kwake, kwa kadri ya kufanikiwa kwake.”  Jinsi Paulo anayataja haya matoleo kuwa “huduma” katika 2 Wakorintho 9:12, haya matoleo lazima yamehuzishwa na ibada ya siku ya Jumapili ya Wakristo."
