ha,yo
Zaɓi shine sarki!,Ohun ti a fe ni Oba!
"Allah mai adalci ne, ma’ana shi baya nuna tara ga mutane da azanci na nunan gatanci (Maimaitawar Shari’a 32:4; Zabura 18:30).","Meta lokan ni Oluwa, iwe mimo wipe okan in Oruko, bi ko se wipe o to si enia meta- “Baba, Omo, Emi Mimo” (Matteu 28; 19, Mark 1; 9-11), oloto ni Olorun, gbogbo ohun ti o so ni o je, ko le pare be ni ko si yi pada (Orin Dafidi 117;2, I Samueli 15;29)."
Amsa,Idahun
English,English
Amsa,Idahun
"Dole ne mu yi biyayya ga gwamnati a komai - biyan haraji, bin dokoki da dokoki, da girmamawa.","Àwa ńni láti gbọ́ràn sí ìjọba nínú ohun gbogbo, sísan owó-orí, gbígbọ́ràn sí àwọn òfin àti àṣẹ, àti bíbọ̀wọ̀."
Jima’i ta zama wata ɓangaren ciki na haɗin aure “Haka su biyun nan zasu zama jiki guda” (Farawa 2:24; Matiyu 19:5; Afisawa 5:31).,"To ba je be, Jesu ti fi han wipe , ikosile ati fife elomiran wa (Matteu 19:9)."
Amsa,Idahun
Lokacin da Kristi wanda ya tashi daga matattu ya bayyana gare shi a kan hanyar zuwa Dimashƙ (Ayukan Manzanni 9:1-6).,Ìgbà tí Kristi tí ó jí dìde yọ síi ní ọ̀nà Damáskù (Iṣe awọn Apọsteli 9:1-6).
Ƴaƴa masu kyau da masu bada gaskiya zasu samu a cikin rayuwar su ga jerin su cikin Galatiyawa 5:22-23.,Eso rere ti omo Olorun le ni ninu aye yi wa ninu Galatia 5:22-23.
"Mutane da yawa waɗanda basu bada gaskiya da amince cikin Yesu Kiristi ba sun ɗauki kansu Kiristoci ne don kawai suna tafiyar ikilisiya ko suna zama a cikin al’ummar”Kirista.” Amma zuwa ikilisiya, a bauta wa marasa galihu kasa da kai, ko zaman mutumin kirki baya mai da kai Kirista ba.",Awon eniyan ti ko gbagbo ti ko si ni ireti ninu Jesu ma n pe ra won ni Kristiani nitori pe won ma n lo ile ijosin tabi won gbe inu ilu ti o je Kristiani.
"Cocin “sai suka himmantu ga koyarwar manzanni da tarayya da juna, da gutsuttsura gurasa, da kuma yin addu'a” (Ayyukan Manzanni 2:42).","Ìjọ àkọ́kọ́ ""dúró sinsin nínú ẹ̀kọ́ àwọn apọsteli, àti ní ìdàpọ̀, ní bíbu àkàrà àti nínú àdúrà"" (Iṣe Apọsteli 2:42)."
Samun kowane irin dangantaka ta kurkusa da mara imani zai iya canzawa da sauri zuwa wani abu wanda ke hana ka tafiya tare da Kristi.,Níní èyíkèyí ìbáṣepọ̀ tímọ́tímọ́ pẹ̀lú aláígbàgbọ́ lè mú kí a tètè yípadà sí ohun tí yóò jẹ́ ìdènà sí ìrìn rẹ pẹ̀lú Kristi.
An saki manzo Yahaya daga baya kuma ya dawo zuwa ƙasar Turkiya ta yanzu.,"Nígbà tí o yá, a dá Johannu àpọ́stélì sílẹ̀ tí òun si padá sí ibi ti a mọ̀ sí Tọ́kìí ní òde-òní."
"Da a ce mace 'yar Siriya da ɗiyar da aljanu ta rinjayi ba ta yi addu'a ga Almasihu ba, da' yarta ba za ta warke (Markus 7:26-30) Idan makaho a wajen Yariko bai kira ga Kristi ba, da ya zama makaho (Luka 18:35-43).","Bí obìnrin ará Síríà náà pẹ̀lú ọmọbìnrin rẹ̀ tí à nti ipa ẹ̀mí èṣù dari náà kò bá ti gbàdúrà sí Kristi, ara ọmọbìnrin rẹ̀ kì bá ti dá (Marku 7:26-30)."
English,English
"Girman ruhaniya wataƙila an kwatanta shi da kyau a cikin 2 Bitrus 1:3-8, wanda ya gaya mana cewa da ikon Allah muna da “duk abin da muke buƙata” don rayuwar rayuwar ibada, wanda shine makasudin ci gaban ruhaniya.","Ìdàgbà ti ẹ̀mí ni a ṣe àpèjúwe ní ọ̀nà tí ó dára jùlọ ní Peteru keji 1:3-8, èyí tí ó sọ fún wa wípe nípa agbára ti Ọlọ́run àwa ní ""ohun gbogbo tí àwa nílò"" láti gbé ìgbe-ayé ìwà-bí-Ọlọ́run, èyítí ó jẹ́ ìlépa ìdàgbà ti ẹ̀mí."
"Koyaya, ra'ayi cewa Farawa 6:1-4 ya shafi mala'iku masu faɗuwa suna saduwa da mata mutane yana da mahimmin mahallin magana, na nahawu, da kuma tarihi.","Ṣùgbọ́n, àfojúsùn tó sọ wípé Jẹnẹsisi 6:1-4 nííṣe pẹ̀lú àwọn ańgẹ́lì tí ó ti ṣubú àti ọmọbìnrin ènìyàn ní ìpìlẹ̀ àyálò, gírímà àti ìtàn tó dúró re."
"Duk da yake dole ne matsayin uwa ya canza kuma ya bunkasa, kauna, kulawa, kulawa, da karfafa gwiwa da uwa ke bayarwa bai kamata ya gushe ba.","Nígbàtí ojúṣe ìyá ńyí padà àti wípé ó ńpọ̀si, ìfẹ́, ìkẹ́, ìgẹ̀ àti àdúrótí tí ìyá fún ni, kò gbọ́dọ̀ dáwọ́ dúró."
Yin bimbini a kan Maganar Allah da yin biyayya ga koyarwarsa za su kawo nasara a rayuwa (Joshua 1:8; Yakubu 1:25).,Ṣíṣe àṣàrò nínú Ọ̀rọ̀ Ọlọ́run àti ìgbọràn sí ẹ̀kọ́ rẹ̀ yóò mú àṣeyọ́rí wa n'ílé ayé (Josua 1:8; Jakọbu 1:25).
Yesu ya yi mana gargaɗi cewa “Kiristocin ƙarya da annabawan ƙarya” za su zo kuma za su yi ƙoƙarin yaudarar zaɓaɓɓu na Allah (Matiyu 24:23-27; duba kuma 2 Bitrus 3:3 da Yahuda 17-18).,"Jésù kìlọ̀ fún wa wípé ""àwọn Krísti èké àti àwọn wòlíì èké"" yóò wá tí wọ́n yóò gbìyànjú láti tan àwọn ènìyàn jẹ kódà àyànfẹ́ Ọlọ́run (Matteu 24:23-27; tún wo 2 Peteru 3:3 àti Juda 17-18)."
English,English
"Domin ba abubuwan da ido yake gani muke dubawa ba, sai dai marasa ganuwa, gama abubuwan da ake gani, masu saurin wucewa ne, marasa ganuwa kuwa, madawwama ne” (2 Korintiyawa 4:16-18).","Níwọ̀n bí a kò ti wo ohun ti a ńrí, bíkòṣe ohun tí a kò rí: nítorí ohun tí a ńrí ni ti ìgbà ìsìsìyí, ṣùgbọ́n ohun ti a kò rí ni ti aiyeraye"" (2 Kọrinti 4:16-18)."
Yana da kyau a yi shakka.,Ó ṣe déédé láti ní àwọn ìyeméjì.
Shin yakamata Kiristoci su gurfanar da wadanda ba Krista ba a kotu game da batutuwan da suka shafi jama'a?,Ṣé ó yẹ kí àwọn Kristiẹni máa gbé aláìgbàgbọ́ lọ sí ilé-ẹjọ́ lórí ọ̀rọ̀ ìlú?
"Ba za a ƙara yin mutuwa, ko baƙin ciki, ko kuka, ko azaba ba, domin tsohon al'amarin ya shuɗe.""","Ó le láti lóye nǹkan wọ̀nyìí, ṣùgbọ́n a kò gbọ̀dọ̀ nì ìbánújẹ́ nípa àìsí níbẹ wọn."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
English,English
"Dangane da Romawa 13:1-7, iyaye su miƙa gwamnati.","Gẹ́gẹ́ bí àkọsílẹ̀ ti ìwé Romu 13:1-7, òbí gbọ́dọ̀ tẹríba fún ìjọba."
"Na farko, doka ta taimaka wa matalauta da gaske ta hanyar rashin sanya su cikin mawuyacin hali.","Àkọ́kọ́, òfin náà ran àwọn aláìní lọ́wọ́ ní tòótọ́ nípa wípé kí ìṣòrò wọn má baà burú si."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Kana ji da motsin rai na mai laifi wanda ba zaka iya da alama ka je ka bar ta daga nan?,Nje okan re kun fun ero idalebi ti ko see mu kuro?
"Zai bi da tunani da matakan ka, kowace rana, ta maganarsa, Littafi Mai Tsarki “Zan koya maka hanyar zaka bi, zan koya maka, in kuma baka shawara” (Zabura 32:8).",“Ore” kan si mbe  ti o fi ara moni ju arakonrin lo” (Owe 18:24).
Amsa,Idahun
"Lokacin da miji ya ƙaunaci matarsa kamar yadda Kristi ya ƙaunaci coci (Afisawa 5:25-33), to yin biyayya martani ne na dabi'a daga mata zuwa ga mijinta.","Nígbà tí ọkọ bá fẹ́ràn ìyàwó rẹ̀ gẹ́gẹ́ bí Kristi ti fẹ́ràn ìjọ (Efesu 5: 25 -33), nígbànáà ìtẹríba yóò jẹ́ ìdáhùn àìfagbáraṣe láti ọ̀dọ ìyàwó sí ọk rẹ̀."
"Kowannensu da ma mugu ne, mutane masu zunubi (babu  isasshen abin da aka faɗa game da mai riƙe wa Saul makamai da zamu shari’anta halinsa).",( a ko mon pupo nipa Onihamora Saulu lati li so eni ti o je).
"Allah bai halicci mugunta ba, amma ya kyale shi.","Ọlọ́run kò ṣẹ̀dá ibi, ṣùgbọ́n Òun gba a láàyè."
Haka nan kuma sha'awar Allah ta sulhunta mu da Shi.,"Ìpín ìfihàn yìí tí ó ṣe pàtàkì jùlọ ni ìtàn ìpínyà wà kúrò lọ́dọ̀ Ọlọ́run nípa ẹ̀ṣẹ̀ àti ìpèsè Ọlọ́run fún ìmúpadàbọ́sípò ìdàpọ̀ nípasẹ̀ ìrúbọ Ọmọ Rẹ̀, Jésù Kristi, lórí igi àgbélébùú."
"Triniti ta zama tunanin da ba zata yiwu ga wani bani adam ya gane ta cikakke ba, ko ma a bayyana ta.",Metalokan niran fun omo enia lati le ni oye patapata nipa re.
"Idan zunubanmu basu sami gafartawa ba, zamu zauna har abada da wahalar sanadiyyar zunubanmu (Matiyu 25:46; Yahaya 3:36).","Ti a ko ba ri idariji ese wa gba, o daju wipe a o lo ayeraye wa ninu iya nitori awon ese ti a ti da (Matteu 25:46; Johannu 3:36)."
"Ga mai bi da maya haihuwa, wannan yana nufin ba fara dangantaka ta kud da kud da duk wanda ba ma mai bi ba.","Fún onígbàgbọ́ tí ó ti di àtúnbí, èyí túmọ̀ sí wípé kí a má ṣe bẹ̀rẹ̀ ìbáṣepọ̀ tí o ní ìfarakíni pẹ̀lú ẹnikẹ́ni tí kìí ṣe onígbàgbọ́ kan bákanáà."
"Idan suka ce ""eh,"" sun yi cikakken bayani - wanda shi kansa yana nuna kasancewar samuwar.","Tí wọ́n bá sọ wípé ""bẹ́ẹ̀ni"", wọ́n ti sọ òdodo ọ̀rọ̀—tí ó túmọ̀ sí wípé òtítọ́ pátápátá wà."
Ko ka yanke shawara domin Kiristi saboda abin da ka karanta anan?,Se o gba adura idariji ese ki o si je enia titun ninu Kristi ni oni?
"In kuwa muka san kome muka roƙa yana sauraronmu, mun tabbata mun sami abin da muka roƙa a gare shi ke nan” (1 Yahaya 5:14-15).","Eyi si ni igboya ti awa ni niwaju rẹ̀, pe bi awa ba bere ohunkohun gẹgẹ bi ifẹ rẹ̀, o ngbọ ti wa."
"Ko da yake dukanmu a ƙarshe za a tashe mu, ko waɗanne ba zasu je cikin sama tare ba.","Sugbon a o jinde, ki se gbogbo enia ni yi o si lo si orun papo."
"Saboda haka, bisa ga ra'ayin Larabawa, bayanin kawai da bai keta lissafin littafi mai tsarki na mata da kayan ƙanshi ba kuma ya sami fahimtar Matta 12:40, shi ne cewa an gicciye Kristi a ranar Laraba.","Nítorínà, gẹ́gẹ́bí ìwòye Ọjọ́'rú, àlàyé kanṣoṣo tí kò takò àkọsílẹ̀ bíbélì nípa àwọn obìnrin náà àti tùràrí èyítí ó sì mú ìtumọ̀ Matteu 12:40 tí ó yẹ dání, ni wípé a kan Kristi mọ́ àgbélèbú ní Ọjọ́'rú."
"Kusan bin diddigi game da matsayinsu na koyarwa a kan batutuwa kamar Allahntakar Kristi, ceto, Triniti, Ruhu Mai Tsarki, da kafara suna nuna ba shakka cewa ba su riƙe matsayin Krista na gargajiya a kan waɗannan batutuwa ba.","Àwò fínífíní ti ipò àwọn ẹ̀kọ́ wọn lórí àwọn kókó bíi jíjẹ́ Ọlọ́run ti Kristi, ìgbàlà, Mẹ́talọ̀kan, Ẹ̀mí Mìmọ̀, àti ìwẹ̀nùmọ́ ńfihàn tayọ iyèméjì kan tí wọn kò dì mú, sí ìdúró àwọn Kristiẹni àtijọ́ lórí àwọn kókó wọ̀nyìí."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
English,English
"Kwana uku daga baya ya tashi daga matattu (1 Korantiyawa 1-4), tabbatarwar nasararsa akan zunubi da mutuwa.","Lehin ojo meta o si jinde (1 Korinti 15:1-4), to si fihan wipe o joba lori ese ati iku.” Eniti o tun wa bi, gege bi ajinde Jesu Kristi kuro ninu oku (1 Peteru 1:3)."
"Gaskiyar cewa akwai hukunci na ƙarshe ga duka mutane, masu bi da marasa bi, tabbatacce ne a wurare da yawa na Nassi.","Òdodo ọ̀rọ̀ ni wípé a ó ṣe ìdájọ́ ìkẹyìn fún gbogbo ènìyàn, àwọn onígbàgbọ́ àti aláìgbàgbọ́, ló f'ìdí múlẹ̀ kedere nínú ọ̀pọ̀lọpọ̀ ẹsẹ Ìwé Mímọ́."
Saul shine farkon wanda ya kafa runduna ta dindindin (1 Sama’ila 13:2; 24:2; 26:2).,Sọ́ọ́lù ló kọ́kọ́ ṣe àgbékalẹ̀ ọmọ ogun tí ó dúró (1 Samuẹli 13:2; 24:2; 26:2).
Washegari aka giciye Yesu.,A kan Jesu mọ́ àgbélèbú ní ọjọ́ kejì.
"Dokokin kimiyya da kimiyyar lissafi ba su da wata ma'ana, kuma kasuwanci ba zai yiwu ba.","Àwọn òfin sáyẹ́ǹsì àti ẹ̀kọ́ ohun ti a lè fójú rí (physics) kò ní wúlò, ọrọ̀-ajé kò ní ṣeé ṣe."
"Ya kamata su tabbatar da cewa suna nan cikin Kalmar, koda kuwa ba sa jin hakan.","Wọ́n gbọ́dọ̀ ri wípé àwọn dúró nínú Ọ̀rọ̀ Ọlọ́run, kódà nígbà tí wọn kò fẹ́ láti ṣe bẹ́ẹ̀."
"Sulemanu ya ce rayuwa duk game da girmama Allah ne da tunaninmu da rayuwarmu don haka kiyaye dokokinsa, wata rana za mu tsaya a gabansa cikin hukunci.","Sólómọ́nì sọ wípé ìgbé-ayé wà nípa fífi ọ̀wọ̀ fún Ọlọ́run nínú èrò àti ìgbé-ayé wa, kí á sì pa àwọn òfin Rẹ̀ mọ́, nítorí ní ọjọ́ kan, àwa yóò dúró níwájú Rẹ̀ ní ìdájọ́."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"Tun da an hukunta luwadi a cikin Littafi Mai Tsarki, ya biyo bayan cewa ’yan luwadi da ke yin aure ba nufin Allah ba ne kuma zai kasance, a zahiri, zunubi ne.","Ó hàn kedere wípé ""gbígbéyàwó"" láàrìn ẹ̀yà ara kannáà kìí ṣe ìfẹ ti Ọlọrun, àti wípé yóò jẹ, ní òtítọ́, ìwà ẹṣẹ."
"Don haka, shin muna mutuwa sau ɗaya ko sau da yawa?","Nítorí náà, ṣé a kú ní ẹẹkan tàbí ní púpọ ìgbà?"
Damuwar ita ce wannan – halin mu na zunubi shine mai hana mu daga samun wata dangataka tare da Allah.,Awon whahala naa niyi- Ese wa ko le je ka je olododo ninu Oluwa.
Wannan yana faruwa ne bayan lokacin tsananin amma kafin karni; dalilin sa shine a tantance wanda zai shiga masarautar ta shekara dubu.,Èyí wáyé lẹ́yìn àkókò ìpọ́njú ṣùgbọ́n ṣáájú ẹgbẹ̀rún ọdún; ète rẹ̀ ni láti mọ ẹnití yóò wọ ìjọba ẹgbẹ̀rún ọdún.
"“Domin ta wurin alheri ne aka cece ku saboda bangaskiya, wannan kuwa ba ƙoƙarin kanku ba ne, baiwa ce ta Allah, ba kuwa saboda aikin lada ba, kada wani yayi fariya” (Afisawa 2:8, 9).","Nitori ore-ofe li a ti fi gba nyin la nipa igbagbo: ati eyini ki ise ti enyin ti karanyin; ebun oluwa ni: ki se nipa ise, ki enikeni ma ba sogo’ (Efesu 2:8-9)."
Daga tushe mutane marasa ceto ne daga Antakiya suka yi amfani da ita kamar wata irin laƙabin raini domin yi wa Kiristoci dariya.,"Awon omo lehin Jesu Kristi ni won koko n pe ni “kristiani” ni Antioku (Ise Awon Aposteli 11; 26) nitori iwa won, ise won ati pe oro won bi Kristi ni."
Ya umarce mu da kar mu fasa tattaruwar mu gu ɗaya yadda waɗansu suka saba yi amma mu mori lokacin don ƙarfafa juna cikin ƙauna da ayyuka masu kyau (Ibraniywawa 10:24-25).,O so fun wa pe ki ama se gbagbe ara wa bi akan se le gbagbe sugbon ki a ma  ran ara wa lowo nipa ife ati ise rere ( Heberu 10: 24-25.
"Duk da haka, Littafi bata hana lalle kada Kirista ya sha biya, giya ko kowane abin sha mai sa maye.",Sugbon iwe mimo ko so wipe ki kristiani ma mu oti waini tabi ogogoro miran.
Halin batsa na batsa yana da kyau a rubuce.,Àkọsílẹ̀ gidi wà fún ìwà bárakú ti wíwo àwòrán ènìyàn ní ìhòhò.
Kusan kowane zunubi za'a iya sanya shi a ɗayan waɗannan rukunoni bakwai.,Gbogbo ẹ̀ṣẹ̀ ni a fẹ́rẹ̀ le fi sínú ọ̀kan lára àwọn ẹka méje wọ̀nyìí.
Mai yiwuwa ba zaka san abin da zaka amsa ba.,O le maa mo n ohun ti o so.
"Lokacin da ibada ta al'ada ta batsa ta bayyana rayuwar mutum kuma ya/ta ci gaba da aikata zunubi ba tare da neman taimako ba, ba tare da ƙoƙari ya dakatar ko jin sha'awar canza halayensa ba, yana nuna mutum bazai sami ceto ba (1 Korantiyawa 6:9-12).","Nígbàtí ayé ènìyàn bá ti farajìn sí àṣà wíwo àwòrán ènìyàn ní ìhòhò tí òun sì ńtẹ̀síwájú láti máa dá ẹ̀ṣẹ̀ láì wá ìránlọ́wọ́, tí kò sì gbìyánjú láti fi òpin síi tàbí kó wu láti yí ìwà rẹ̀ padà, ó ńfihàn wípé ẹni bẹ́ẹ̀ kò tíì di ẹni ìgbàlà (1 Kọrinti 6:9-12)."
"Ana ganin wannan a zahiri cikin ayoyi kamar 2Timoti 3:15-17, wanda tace, “--- da kuma yadda tun kana ɗan ƙaramim ka san littattafai masu tsarki, waɗanda suke koya maka hanyar samun ceto ta dalilin bangaskiya ga Alamsihu Yesu.","Eyi so fun wa yekeyeke ni 2 timoteu 3:15-17, wipe, “……..lati igba omode ni iwo ti mo iwe-mimo, ti o le so di ologbon si igbala nipase igbagbo ninu Kristi Jesu."
English,English
"Kyautar baiwar rai madawwami tana samuwa ga dukka , amma tana bukatar cewa mu musunci kanmu waɗansu jin daɗin duniya da mu saɗaukar da kanmu ga Allah.”Wanda ya gaskata da Ɗan, yana da rai madawwami.","Ona kan ni o wa- Nipa igbagbo ati ireti ninu omo Olorun, Jesu Kristi."
Ba a bautar da mutane ba saboda ƙasarsu ko launin fatar jikinsu.,A kò kó àwọn ènìyàn lẹ́rú nítorí orílẹ̀ tàbí àwọ̀ ara wọn.
"Ga waɗanda suke iya kaɗaita kuma suke fama da matsalolin rayuwa, jin wasu sun ɗaga su zuwa kursiyin alheri na iya zama babban ƙarfafawa.","Sí àwọn tí ó lè dá nìkan wà àti làkàkà pẹ̀lù ẹrù ayé yìí, gbígbọ́ ẹlòmíràn ńgbé wọ́n sókè sí orí ìtẹ́ ore-ọ̀fẹ́ èyí tí ó lè jẹ́ ìgbaníníyànjú nlá."
"Bayan mun lura da wadannan duniyoyi, mun kawar da komai banda Mars da yiwuwan wata Jupiter a matsayin wanda zai iya tallafawa rayuwa.","Lẹ́yìn tí wọ́n wo gbogbo àgbáyé yìí, wọ́n ri wípé, Másìì àti òṣùpá Júpítà nìkan ni o ṣeé ṣe láti fi ààyè gba nǹkan tí ó ní ẹ̀mí."
Harsuna basa faruwa a yau da kamannin da anyi ta cikin Sabon Alƙawari duk da zance cewa da zata yi amfani mai yawa.,Ede siso ni igba Majemu Titun ko si mo loni bi o ti le je wipe iwulo re dara gan.
"Hakazalika, a cikin Tsohon Alkawari duka muna ganin hukuncin Allah da fushinsa a kan zunubi.","Ní ọ̀nà kan náà, ní gbogbo Májẹ̀mú Láíláí àwa rí ìdájọ́ Ọlọ́run àti ìbínú Rẹ̀ tú jáde sí ẹ̀ṣẹ̀."
"“Rai madawwami kuwa, shine su san ka, Allah makaɗaici na gaskiya, da kuma Yesu Almasihu da ka aiko (Yahaya 17:3).","Ona yi ni a file gba iye ainipekun- “ki a mo n o, oluwa ayeraye, Jesu Kristi  ti o ran wa si ile aye” (Johannu 17;3) awon enia ni igbagbo ninu Oluwa, satani gan ni."
"Ka'idar Zane mai Hankali ta ce dalilai na hankali sun zama dole don bayyana hadaddun, wadatattun hanyoyin ilimin halittu da cewa wadannan abubuwan suna da tasirin gaske.",Àbá Iṣẹ́ àkànṣe Tí ó mọ́pọlọ dání sọ wípé a nílò òkùnfà tí ó mọ́pọlọ dání láti lè ṣe àlàyé àkójọpọ̀ àgbékalẹ̀ ètò ti ẹ̀kọ́ nípa nǹkan alààyè (biology) tí ó kún fún ìmọ̀ àtí wípé a lè mọ òkùnfà yìí nipa àpẹ̀ẹrẹ.
"Babu laifi cikin gina abota mai kyau da marasa imani, amma hakan ya isa kamar yadda ya kamata.","Kò sí ohun tí o burú ní kíkọ́ ìrẹ́pọ̀ tí o dára pẹ̀lú àwọn aláìgbàgbọ́, ṣùgbọ́n bí ó ti yẹ kí o mọ ní yẹn."
Yesu ba dan Allah ba ne ta fuskar uba da ɗa.,Jésù kìí ṣe ọmọ Ọlọ́run ní èrò bàbá àti ọmọ ni ti ara.
Mun gaskata cewa dinosaurs sun mutu a wani lokaci bayan ruwan tsufana bisa dalilan kai kawo na halin zaman mutum da gaskiyar cewa mutum kullum na farautarsu daga kau dasu daga doron duniya.,A gbagbo wipe eranko yi wa won si ti ku tipe leyin omiyale ati wipe awon eniyan pa won naa.
Al’amari ne kawai na gamsar da mabiyansa na Allah waɗanne littattafai ya kamata a saka a cikin Littafi Mai Tsarki.,Ó jẹ́ ọ̀rọ̀ tí Ọlọ́run ńpàrọwà irú àwọn ìwé tí ó gbọ́dọ̀ wà nínú Bíbélì fún àwọn olùtẹ̀lé Rẹ̀.
Babu wata dabara ta sihiri ko tabbataccen gwaji wanda zai iya gaya mana ainihin abin da kyaututtukanmu na ruhaniya suke.,Kò sí idán tàbí àyẹ̀wò kan gbòógì tí ó lè sọ ohun tí ẹ̀bùn ẹ̀mí wa jẹ́ ní pàtó.
Fahimtar cewa Allah Jarumi ne kuma zai kāre mutanensa ba tare da la'akari da ƙarfin soja ba yana iya zama dalilin da ya sa Isra'ila ta yi jinkirin haɓaka runduna.,"Ìdí ni wípé Ọlọ́run ni Olórí ogun ọ̀run tí ó sì dáàbò bo àwọn ènìyàn rẹ̀, láì fi ti agbára ogun wọn ṣe lè jẹ́ ìdí tí Isrẹli fi pẹ́ kí wọ́n tó yan ọmọ ogun."
"Ba abin tunawa da marmara ne da aka sassaƙa ko tagulla ba, amma na burodi da ruwan inabi.","Kìí ṣe ìrántí tí a fi òkúta tàbí idẹ mímọ ṣe, ṣùgbọ́n ti àkàrà àti ọtí wáìnì."
Addu’ar mai zunubi ta zama roƙo ne don alheri maimakon hukunci.,Adura elese je adura enia I an gba si Olorun nigba ti won ba mo wipe elese ni awa a si fe irapada.
Anan a Gotquestions.org mun gaskata da fassarar ƙaramar duniya da yarda cewa dinosaurs da mutum sun kasance tare.,"Nibi eyi ti ani ibere, a gbagbo wipe awon eranko yi wa pelu enia."
Amsa,Idahun
"Duk da wannan dai, Littafi Mai Tsarki tana gargaɗe mu cewa waɗansu har ila yau zasu yi musun sanin Allah, “ Wawaye sukan ce ma kan su, ‘Ba Allah’ “ (Zabura 14:1).","Eyi fi ye wa wipe ti o ba wa, o ga ju wipe ti ko ba wa."
"Wannan yana nufin cewa dole ne a fassara mutum ta hanyar da ta dace da masu sauraren da aka rubuta musu, waɗanda aka rubuta game da su, waɗanda aka rubuta su, da sauransu.","Èyí túmọ̀ sí wípé a gbọ́dọ̀ túmọ̀ àyọkà ní ọ̀nà tí ó wà ní ìbámu pẹ̀lú àwọn ènìyàn tí a kọọ́ sí, àwọn ẹni tí a kọọ́ nípa, ẹni tí a ti ipasẹ̀ rẹ̀ kọọ́ àti bẹ́ẹ̀ bẹ́ẹ̀ lọ."
Amsa,Idahun
Wataƙila kowa a wannan lokacin ya rayu shekaru ɗari da yawa.,"Ọjọ́ rẹ̀ yíò sì jẹ́ Ọgọ́fà ọdún""."
"Sabanin haka, idan ka binciko ƙasa daga hamada mafi ƙanƙara a duniya ko mafi datti mai daskarewa a Antarctica, za ka ga yana cike da ƙananan ƙwayoyin cuta.","Ní àtakò, bí a bá ṣe àyẹ̀wò erùpẹ̀ ní asálẹ̀ tí ó gbẹ jùlọ láyé tàbí ibi tí ó kún fún yìnyín jù ní Àǹtátíkà, ìwọ yóò rìí wípé ó kún fún àwọn ohun ẹlẹ́mìí tí kò ṣeé fojú rí."
"Aljanun/mala'ikun da suka faɗi abokan gaban Allah ne, amma an ci su da yaƙi.","Àwọn ẹ̀mí èṣù/ańgẹ́lì tí ó ti ṣubú jẹ́ ọ̀ta Ọlọ́run, ṣùgbọ́n wọ́n jẹ́ ọ̀ta tí a ti ṣẹ̀gun."
"Da a ce Yesu bai tashi daga matattu ba, da almajiran sun sani.","Bí Jésù kò bá jí dìde, àwọn ọmọ-ẹ̀hìn kò bá mọ̀ nípa rẹ̀."
Na gode maka don alherinka mai ban mamaki da kuma gafara – kyautar rai madawwami!,E se fun ore- ofe ati idariji ese mi- ebun ayeraye!
Ga yadda ta lalace.,Èyí ni àtúpalẹ̀ rẹ.
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"Aboki, Allah na tsaye a shirye ya gyarta abin da ya fashe “---kamar, rai da kake da shi yanzu, da kake so ka ƙare ta kashe kan ka.","Wa si odo Jesu, ki o je ki o fun o ni ireti ati ilo re, bi iwo ba se gbagbo ninu re wipe ki o se atunse."
Dujal (dabbar) zai shiga mulki kuma zai rattaba hannu kan yarjejeniya da Isra'ila har tsawon shekaru bakwai (Daniyel 9:27).,"Aṣòdìsí Kristi náà (ẹranko náà) yóò gba agbára, yóò sì buwọ́ lu májẹ̀mú pẹ̀lú Isrẹli fún ọdún méje (Daniẹli 9:27)."
Mutane basa zama mala'iku bayan sun mutu.,Ẹ̀dá ènìyàn kìí di ańgẹ́lì lẹ́hìn ìgbà tí wọ́n bá kú.
"Dalilin yin azumi a cikin littafi mai tsarki ba shine a rasa nauyi ba, a'a shine samun zurfin zumunci da Allah.","Ààwẹ̀ gbígbá ni a kò gbọdọ̀ rí bíi ""ọ̀nà dídín oúnjẹ jíjẹ kù"" Ète ààwẹ̀ gbígbá tí ó bá bíbélì mu kìí ṣe láti dín ìwọ̀n kù, ṣùgbọ́n láti ní ìdàpọ̀ tí ó jinlẹ̀ pẹ̀lú Ọlọ́run."
Ee.,19:30).
Dole ne mu yi hankali don kauce wa tunanin mutane.,A ní láti kíyèsára láti yẹra fún fífi ojú burúkú wo àwọn ènìyàn.
"Littafi Mai Tsarki kuma ya ce, “Kada fa a yaudare ku: ‘Zama da mugaye yakan ɓata halayen kirki’” (1 Korintiyawa 15:33).","Bíbélì tún sọ wípé, ""Kí a má tàn yín jẹ: 'Ẹgbẹ́ búburú ba ìwà rere jẹ́' (1 Kọrinti 15:33)."
Yesu Almasihu shine babban dalilin da yasa Allah ya zaɓi Isra’ila ta zama mutanensa na musamman.,Jésù Kristi ni ìdí tí Ọlọ́run fi yan Isrẹli láti jẹ́ ènìyàn Rẹ̀ ọ̀tọ̀ ní ìkẹhìn.
"Ìfẹ́ kìí yọ̀ sí àìṣòdodo, ṣùgbọ́n a máa yọ̀ nínú òtítọ́.",Love does not delight in evil but rejoices with the truth.
Amsa,Idahun
